QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,SACRAMENTO_ACTION,CHARLOTTE_SCORE,SACRAMENTO_SCORE
4,10:37.0,,Offensive rebound by Team,79,82
4,10:37.0,Loose ball foul by M. Kidd-Gilchrist (drawn by M. Bagley),,79,82
4,10:27.0,,B. Bogdanović misses 2-pt jump shot from 12 ft,79,82
4,10:25.0,,Offensive rebound by B. Bogdanović,79,82
4,10:24.0,,B. Bogdanović misses 2-pt layup from 3 ft (block by M. Williams),79,82
4,10:19.0,Defensive rebound by J. Lamb,,79,82
4,10:14.0,J. Lamb misses 2-pt jump shot from 20 ft,,79,82
4,10:13.0,,Defensive rebound by B. Bogdanović,79,82
4,9:48.0,,M. Bagley misses 2-pt layup from 5 ft (block by M. Kidd-Gilchrist),79,82
4,9:46.0,Defensive rebound by M. Kidd-Gilchrist,,79,82
4,9:46.0,,Technical foul by M. Bagley,79,82
4,9:46.0,J. Lamb makes technical free throw,,80,82
4,9:38.0,M. Monk misses 2-pt jump shot from 15 ft,,80,82
4,9:34.0,Offensive rebound by M. Kidd-Gilchrist,,80,82
4,9:32.0,M. Williams misses 3-pt jump shot from 25 ft,,80,82
4,9:29.0,,Defensive rebound by M. Bagley,80,82
4,9:18.0,,M. Bagley makes 3-pt jump shot from 26 ft (assist by Y. Ferrell),80,85
4,9:00.0,M. Williams misses 3-pt jump shot from 25 ft,,80,85
4,8:58.0,,Defensive rebound by J. Jackson,80,85
4,8:48.0,,B. Bogdanović makes 2-pt jump shot from 6 ft,80,87
4,8:47.0,Charlotte full timeout,,80,87
4,8:47.0,B. Biyombo enters the game for M. Kidd-Gilchrist,,80,87
