QUARTER,TIME_REMAINING,MIAMI_ACTION,PHILADELPHIA_ACTION,MIAMI_SCORE,PHILADELPHIA_SCORE
3,5:05.0,,J. Simmons enters the game for J. Redick,67,65
3,5:05.0,,Violation by Team (delay of game),67,65
3,4:53.0,,T. Harris misses 3-pt jump shot from 26 ft,67,65
3,4:50.0,,Offensive rebound by B. Simmons,67,65
3,4:41.0,,J. Simmons misses 2-pt jump shot from 10 ft (block by H. Whiteside),67,65
3,4:38.0,Defensive rebound by D. Waiters,,67,65
3,4:36.0,D. Waiters misses 2-pt layup from 3 ft (block by T. Harris),,67,65
3,4:36.0,Offensive rebound by Team,,67,65
3,4:29.0,J. Winslow makes 2-pt jump shot from 12 ft,,69,65
3,4:15.0,,B. Simmons makes 2-pt jump shot from 10 ft,69,67
3,3:54.0,Turnover by D. Waiters (bad pass; steal by B. Simmons),,69,67
3,3:48.0,,B. Simmons makes 2-pt layup from 1 ft,69,69
3,3:48.0,Miami full timeout,,69,69
3,3:33.0,J. Winslow misses 2-pt jump shot from 17 ft,,69,69
3,3:31.0,,Defensive rebound by Team,69,69
3,3:15.0,,B. Simmons makes 2-pt hook shot from 5 ft,69,71
3,2:59.0,K. Olynyk misses 2-pt jump shot from 12 ft,,69,71
3,2:54.0,Offensive rebound by H. Whiteside,,69,71
3,2:54.0,H. Whiteside misses 2-pt layup at rim,,69,71
3,2:53.0,,Defensive rebound by J. Bolden,69,71
3,2:52.0,,Turnover by J. Ennis (step out of bounds),69,71
3,2:38.0,D. Wade makes 2-pt jump shot from 8 ft,,71,71
3,2:15.0,,B. Simmons makes 2-pt layup from 1 ft,71,73
3,2:15.0,,Shooting foul by H. Whiteside (drawn by B. Simmons),71,73
3,2:15.0,B. Adebayo enters the game for K. Olynyk,,71,73
3,2:15.0,D. Jones enters the game for D. Waiters,,71,73
3,2:15.0,R. McGruder enters the game for H. Whiteside,,71,73
3,2:15.0,,M. Scott enters the game for T. Harris,71,73
3,2:15.0,,B. Simmons misses free throw 1 of 1,71,73
3,2:13.0,Defensive rebound by J. Winslow,,71,73
3,2:08.0,D. Wade makes 2-pt jump shot from 17 ft (assist by J. Winslow),,73,73
3,1:58.0,,J. Bolden misses 3-pt jump shot from 28 ft,73,73
3,1:56.0,Defensive rebound by J. Winslow,,73,73
3,1:44.0,D. Wade misses 2-pt jump shot from 15 ft,,73,73
3,1:39.0,,Defensive rebound by J. Bolden,73,73
3,1:35.0,,Personal foul by B. Adebayo (drawn by J. Bolden),73,73
3,1:35.0,K. Olynyk enters the game for B. Adebayo,,73,73
3,1:18.0,,Turnover by J. Simmons (lost ball; steal by J. Winslow),73,73
3,1:13.0,D. Jones makes 2-pt dunk from 1 ft (assist by D. Wade),,75,73
3,0:58.0,,B. Simmons misses 2-pt jump shot from 20 ft,75,73
3,0:55.0,Defensive rebound by R. McGruder,,75,73
3,0:49.0,K. Olynyk misses 3-pt jump shot from 26 ft,,75,73
3,0:45.0,,Defensive rebound by J. Simmons,75,73
3,0:38.0,,Offensive foul by M. Scott (drawn by J. Winslow),75,73
3,0:38.0,,Turnover by M. Scott (offensive foul),75,73
3,0:38.0,J. Richardson enters the game for J. Winslow,,75,73
3,0:27.0,Personal foul by J. Bolden (drawn by K. Olynyk),,75,73
3,0:18.0,D. Wade misses 3-pt jump shot from 28 ft,,75,73
3,0:17.0,,Defensive rebound by Team,75,73
3,0:03.0,,B. Simmons misses 2-pt jump shot from 4 ft,75,73
3,0:00.0,Defensive rebound by D. Wade,,75,73
4,11:50.0,J. Richardson makes 2-pt jump shot from 16 ft (assist by K. Olynyk),,77,73
4,11:28.0,,Personal foul by K. Olynyk (drawn by J. Butler),77,73
4,11:14.0,,M. Scott misses 2-pt jump shot from 11 ft,77,73
4,11:11.0,,Offensive rebound by J. Butler,77,73
4,11:11.0,,J. Butler misses 2-pt layup from 2 ft,77,73
4,11:09.0,Defensive rebound by K. Olynyk,,77,73
4,11:03.0,D. Jones misses 2-pt layup from 4 ft,,77,73
4,10:59.0,,Defensive rebound by J. Butler,77,73
4,10:58.0,,Personal foul by D. Jones (drawn by J. Butler),77,73
4,10:40.0,,T. McConnell makes 2-pt jump shot from 9 ft,77,75
4,10:30.0,Personal foul by B. Marjanović (drawn by K. Olynyk),,77,75
4,10:22.0,D. Jones makes 3-pt jump shot from 26 ft (assist by J. Richardson),,80,75
4,10:03.0,,J. Butler misses 2-pt jump shot from 9 ft,80,75
4,10:01.0,,Offensive rebound by T. McConnell,80,75
4,9:54.0,,T. McConnell makes 2-pt layup from 2 ft,80,77
4,9:38.0,D. Jones misses 2-pt layup from 3 ft,,80,77
4,9:36.0,,Defensive rebound by J. Redick,80,77
4,9:32.0,,M. Scott misses 3-pt jump shot from 25 ft,80,77
4,9:29.0,Defensive rebound by R. McGruder,,80,77
4,9:18.0,K. Olynyk makes 2-pt dunk at rim (assist by D. Wade),,82,77
4,9:18.0,,Philadelphia full timeout,82,77
4,9:18.0,,T. Harris enters the game for B. Marjanović,82,77
4,9:08.0,,Shooting foul by D. Wade (drawn by J. Butler),82,77
4,9:08.0,,J. Butler makes free throw 1 of 2,82,78
4,9:08.0,,J. Butler makes free throw 2 of 2,82,79
4,8:55.0,J. Richardson makes 2-pt dunk from 1 ft (assist by D. Wade),,84,79
4,8:40.0,,Shooting foul by D. Jones (drawn by J. Butler),84,79
4,8:40.0,,J. Butler makes free throw 1 of 2,84,80
4,8:40.0,,J. Butler makes free throw 2 of 2,84,81
4,8:28.0,D. Jones makes 2-pt dunk from 1 ft (assist by D. Wade),,86,81
4,8:15.0,,T. Harris makes 3-pt jump shot from 28 ft (assist by J. Butler),86,84
4,8:02.0,Offensive foul by J. Richardson (drawn by J. Redick),,86,84
4,8:02.0,Turnover by J. Richardson (offensive foul),,86,84
4,8:02.0,,B. Simmons enters the game for M. Scott,86,84
4,7:51.0,,T. Harris makes 2-pt layup from 1 ft (assist by J. Butler),86,86
4,7:51.0,Miami full timeout,,86,86
4,7:32.0,D. Wade misses 2-pt jump shot from 3 ft,,86,86
4,7:29.0,Offensive rebound by K. Olynyk,,86,86
4,7:29.0,K. Olynyk makes 2-pt layup at rim,,88,86
4,7:15.0,,J. Butler misses 2-pt layup from 2 ft (block by D. Wade),88,86
4,7:13.0,Defensive rebound by D. Wade,,88,86
4,7:11.0,Turnover by D. Wade (lost ball; steal by T. McConnell),,88,86
4,7:05.0,,T. Harris makes 2-pt layup from 2 ft (assist by J. Redick),88,88
4,6:49.0,K. Olynyk makes 2-pt layup from 1 ft (assist by J. Richardson),,90,88
4,6:29.0,,J. Butler misses 2-pt layup from 1 ft,90,88
4,6:23.0,Defensive rebound by R. McGruder,,90,88
4,6:07.0,K. Olynyk misses 2-pt jump shot from 19 ft,,90,88
4,6:05.0,,Defensive rebound by T. McConnell,90,88
4,6:02.0,,J. Redick makes 3-pt jump shot from 26 ft (assist by T. McConnell),90,91
4,5:40.0,D. Wade misses 2-pt jump shot from 8 ft,,90,91
4,5:38.0,,Defensive rebound by T. Harris,90,91
