QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,MEMPHIS_ACTION,GOLDEN STATE_SCORE,MEMPHIS_SCORE
3,9:16.0,,M. Conley misses 2-pt jump shot from 4 ft,68,65
3,9:16.0,Defensive rebound by Team,,68,65
3,9:16.0,,Loose ball foul by J. Valančiūnas (drawn by D. Cousins),68,65
3,9:00.0,S. Curry misses 2-pt jump shot from 16 ft,,68,65
3,8:57.0,,Defensive rebound by J. Valančiūnas,68,65
3,8:44.0,,J. Valančiūnas misses 2-pt layup from 2 ft,68,65
3,8:42.0,Defensive rebound by D. Cousins,,68,65
3,8:38.0,Turnover by D. Cousins (bad pass; steal by J. Holiday),,68,65
3,8:38.0,,Personal take foul by D. Cousins (drawn by J. Valančiūnas),68,65
3,8:14.0,,M. Conley misses 3-pt jump shot from 26 ft,68,65
3,8:09.0,Defensive rebound by D. Green,,68,65
3,7:57.0,D. Cousins misses 2-pt layup at rim (block by J. Valančiūnas),,68,65
3,7:54.0,,Defensive rebound by T. Dorsey,68,65
3,7:50.0,,M. Conley makes 2-pt jump shot from 4 ft,68,67
3,7:50.0,,Shooting foul by S. Curry (drawn by M. Conley),68,67
3,7:50.0,,M. Conley makes free throw 1 of 1,68,68
3,7:33.0,K. Thompson makes 3-pt jump shot from 24 ft (assist by K. Durant),,71,68
3,7:19.0,,J. Valančiūnas misses 2-pt hook shot from 1 ft,71,68
3,7:19.0,Defensive rebound by Team,,71,68
3,7:19.0,,Loose ball foul by J. Valančiūnas (drawn by D. Cousins),71,68
3,7:03.0,S. Curry makes 3-pt jump shot from 26 ft (assist by K. Durant),,74,68
3,6:48.0,,J. Holiday misses 3-pt jump shot from 26 ft,74,68
3,6:45.0,Defensive rebound by S. Curry,,74,68
3,6:39.0,S. Curry makes 3-pt jump shot from 23 ft (assist by D. Cousins),,77,68
3,6:37.0,,Memphis full timeout,77,68
3,6:37.0,,D. Wright enters the game for T. Dorsey,77,68
3,6:24.0,,Shooting foul by D. Cousins (drawn by J. Valančiūnas),77,68
3,6:24.0,,J. Valančiūnas makes free throw 1 of 2,77,69
3,6:24.0,A. Bogut enters the game for D. Cousins,,77,69
3,6:24.0,,J. Valančiūnas makes free throw 2 of 2,77,70
3,6:03.0,S. Curry makes 2-pt layup from 1 ft (assist by A. Bogut),,79,70
3,5:46.0,,J. Valančiūnas misses 2-pt hook shot from 4 ft (block by D. Green),79,70
3,5:44.0,Defensive rebound by D. Green,,79,70
3,5:43.0,Personal take foul by D. Wright (drawn by D. Green),,79,70
3,5:28.0,K. Thompson makes 2-pt jump shot from 12 ft (assist by D. Green),,81,70
3,5:10.0,,B. Caboclo makes 3-pt jump shot from 23 ft (assist by M. Conley),81,73
3,4:53.0,K. Durant makes 2-pt jump shot from 12 ft (assist by D. Green),,83,73
3,4:42.0,,Personal foul by K. Thompson (drawn by M. Conley),83,73
3,4:42.0,,M. Conley makes free throw 1 of 2,83,74
3,4:42.0,A. Iguodala enters the game for K. Thompson,,83,74
3,4:42.0,,C. Parsons enters the game for J. Holiday,83,74
3,4:42.0,,M. Conley misses free throw 2 of 2,83,74
3,4:38.0,Defensive rebound by D. Green,,83,74
3,4:21.0,S. Curry misses 2-pt jump shot from 10 ft,,83,74
3,4:19.0,,Defensive rebound by D. Wright,83,74
3,4:15.0,,D. Wright misses 2-pt layup from 1 ft,83,74
3,4:13.0,,Offensive rebound by B. Caboclo,83,74
3,4:13.0,,B. Caboclo misses 2-pt layup from 1 ft,83,74
3,4:12.0,Defensive rebound by K. Durant,,83,74
3,4:10.0,S. Curry misses 2-pt layup from 1 ft,,83,74
3,4:10.0,,Defensive rebound by C. Parsons,83,74
3,4:02.0,,J. Valančiūnas makes 2-pt jump shot from 13 ft (assist by M. Conley),83,76
3,3:51.0,Shooting foul by D. Wright (drawn by S. Curry),,83,76
3,3:51.0,S. Curry makes free throw 1 of 2,,84,76
3,3:51.0,,I. Rabb enters the game for J. Valančiūnas,84,76
3,3:51.0,S. Curry makes free throw 2 of 2,,85,76
3,3:34.0,,D. Wright misses 2-pt jump shot from 12 ft,85,76
3,3:32.0,Defensive rebound by D. Green,,85,76
3,3:22.0,D. Green misses 3-pt jump shot from 26 ft,,85,76
3,3:20.0,,Defensive rebound by B. Caboclo,85,76
3,3:05.0,,D. Wright misses 2-pt jump shot from 12 ft,85,76
3,3:02.0,Defensive rebound by A. Bogut,,85,76
3,2:50.0,Turnover by D. Green (bad pass; steal by D. Wright),,85,76
3,2:44.0,,I. Rabb makes 2-pt dunk from 1 ft (assist by B. Caboclo),85,78
3,2:44.0,Golden State full timeout,,85,78
3,2:44.0,A. McKinnie enters the game for K. Durant,,85,78
3,2:44.0,,T. Dorsey enters the game for B. Caboclo,85,78
3,2:44.0,,J. Holiday enters the game for M. Conley,85,78
3,2:26.0,Turnover by D. Green (bad pass; steal by C. Parsons),,85,78
3,2:21.0,,T. Dorsey makes 3-pt jump shot from 24 ft (assist by D. Wright),85,81
3,1:55.0,S. Curry misses 3-pt jump shot from 31 ft,,85,81
3,1:52.0,,Defensive rebound by I. Rabb,85,81
3,1:40.0,,J. Holiday makes 3-pt jump shot from 27 ft (assist by D. Wright),85,84
3,1:30.0,D. Green misses 2-pt jump shot from 11 ft,,85,84
3,1:26.0,,Defensive rebound by J. Holiday,85,84
3,1:19.0,,I. Rabb misses 2-pt jump shot from 21 ft,85,84
3,1:17.0,Defensive rebound by S. Curry,,85,84
3,1:09.0,S. Curry misses 2-pt jump shot from 14 ft,,85,84
3,1:05.0,,Defensive rebound by T. Dorsey,85,84
3,0:58.0,,C. Parsons misses 2-pt jump shot from 12 ft (block by S. Curry),85,84
3,0:55.0,Defensive rebound by S. Curry,,85,84
3,0:54.0,Personal take foul by J. Holiday (drawn by S. Curry),,85,84
3,0:54.0,S. Curry makes free throw 1 of 2,,86,84
3,0:54.0,Q. Cook enters the game for A. Bogut,,86,84
3,0:54.0,K. Looney enters the game for D. Green,,86,84
3,0:54.0,S. Curry makes free throw 2 of 2,,87,84
3,0:38.0,,Turnover by C. Parsons (bad pass; steal by S. Curry),87,84
3,0:34.0,S. Curry misses 3-pt jump shot from 26 ft,,87,84
3,0:31.0,Offensive rebound by K. Looney,,87,84
3,0:31.0,K. Looney misses 2-pt layup at rim,,87,84
3,0:31.0,Offensive rebound by A. McKinnie,,87,84
3,0:31.0,A. McKinnie makes 2-pt layup at rim,,89,84
3,0:12.0,,C. Parsons misses 2-pt jump shot from 4 ft,89,84
3,0:08.0,Defensive rebound by S. Curry,,89,84
3,0:05.0,A. McKinnie misses 3-pt jump shot from 25 ft,,89,84
3,0:02.0,,Defensive rebound by Team,89,84
3,0:00.0,,T. Dorsey misses 3-pt jump shot from 39 ft,89,84
3,0:00.0,,Offensive rebound by Team,89,84
4,11:48.0,,T. Dorsey misses 3-pt jump shot from 23 ft,89,84
4,11:44.0,,Offensive rebound by B. Caboclo,89,84
4,11:39.0,,J. Valančiūnas misses 2-pt layup from 1 ft,89,84
4,11:36.0,,Offensive rebound by J. Valančiūnas,89,84
4,11:36.0,,J. Valančiūnas makes 2-pt layup from 1 ft,89,86
4,11:14.0,D. Cousins makes 2-pt layup from 1 ft,,91,86
4,10:59.0,,J. Valančiūnas misses 2-pt layup from 2 ft,91,86
4,10:56.0,Defensive rebound by S. Livingston,,91,86
4,10:49.0,D. Cousins misses 2-pt layup from 5 ft (block by J. Valančiūnas),,91,86
4,10:48.0,Offensive rebound by D. Cousins,,91,86
4,10:48.0,Personal foul by J. Valančiūnas (drawn by D. Cousins),,91,86
4,10:40.0,K. Thompson misses 3-pt jump shot from 27 ft,,91,86
4,10:37.0,,Defensive rebound by J. Valančiūnas,91,86
4,10:27.0,,C. Parsons makes 2-pt jump shot from 10 ft,91,88
4,10:10.0,Personal foul by J. Valančiūnas (drawn by D. Cousins),,91,88
4,10:10.0,,I. Rabb enters the game for J. Valančiūnas,91,88
4,10:06.0,Turnover by Q. Cook (bad pass; steal by D. Wright),,91,88
4,10:02.0,,T. Dorsey misses 3-pt jump shot from 25 ft,91,88
4,9:59.0,,Offensive rebound by B. Caboclo,91,88
4,9:59.0,,B. Caboclo makes 2-pt dunk from 1 ft,91,90
4,9:59.0,Golden State full timeout,,91,90
4,9:43.0,D. Cousins misses 2-pt jump shot from 15 ft,,91,90
4,9:40.0,,Defensive rebound by C. Parsons,91,90
4,9:25.0,,Shooting foul by S. Livingston (drawn by C. Parsons),91,90
4,9:25.0,,C. Parsons makes free throw 1 of 2,91,91
4,9:25.0,K. Durant enters the game for A. Iguodala,,91,91
4,9:25.0,,C. Parsons makes free throw 2 of 2,91,92
4,9:16.0,S. Livingston makes 2-pt layup from 1 ft,,93,92
4,8:58.0,,Turnover by I. Rabb (lost ball; steal by K. Durant),93,92
4,8:50.0,Turnover by K. Durant (bad pass; steal by C. Parsons),,93,92
4,8:48.0,,Personal take foul by S. Livingston (drawn by T. Dorsey),93,92
4,8:31.0,,D. Wright misses 2-pt jump shot from 13 ft,93,92
4,8:29.0,Defensive rebound by S. Livingston,,93,92
4,8:26.0,Personal foul by I. Rabb (drawn by D. Cousins),,93,92
4,8:26.0,,M. Conley enters the game for T. Dorsey,93,92
4,8:26.0,,J. Holiday enters the game for D. Wright,93,92
4,8:19.0,Shooting foul by I. Rabb (drawn by K. Durant),,93,92
4,8:19.0,K. Durant makes free throw 1 of 2,,94,92
4,8:19.0,K. Durant makes free throw 2 of 2,,95,92
4,8:05.0,,I. Rabb misses 2-pt jump shot from 3 ft,95,92
4,8:02.0,Defensive rebound by D. Cousins,,95,92
4,7:53.0,K. Durant makes 3-pt jump shot from 26 ft,,98,92
4,7:36.0,,B. Caboclo misses 2-pt jump shot from 4 ft,98,92
4,7:32.0,Defensive rebound by K. Durant,,98,92
4,7:22.0,K. Thompson misses 2-pt jump shot from 11 ft,,98,92
4,7:19.0,Offensive rebound by Team,,98,92
4,7:07.0,K. Durant makes 2-pt jump shot from 19 ft,,100,92
4,7:07.0,,Memphis full timeout,100,92
4,7:07.0,,J. Valančiūnas enters the game for I. Rabb,100,92
4,6:52.0,,B. Caboclo makes 3-pt jump shot from 25 ft (assist by M. Conley),100,95
4,6:33.0,K. Durant misses 2-pt jump shot from 10 ft,,100,95
4,6:31.0,,Defensive rebound by J. Valančiūnas,100,95
4,6:17.0,,Shooting foul by K. Durant (drawn by J. Valančiūnas),100,95
4,6:17.0,,J. Valančiūnas misses free throw 1 of 2,100,95
4,6:17.0,,Offensive rebound by Team,100,95
4,6:17.0,S. Curry enters the game for Q. Cook,,100,95
4,6:17.0,D. Green enters the game for K. Thompson,,100,95
4,6:17.0,,T. Dorsey enters the game for C. Parsons,100,95
4,6:17.0,,J. Valančiūnas makes free throw 2 of 2,100,96
4,5:56.0,S. Livingston makes 2-pt jump shot from 9 ft (assist by D. Cousins),,102,96
4,5:38.0,,J. Valančiūnas makes 2-pt jump shot from 21 ft (assist by M. Conley),102,98
4,5:21.0,S. Livingston makes 2-pt jump shot from 7 ft,,104,98
4,5:05.0,,Personal foul by D. Green (drawn by B. Caboclo),104,98
