QUARTER,TIME_REMAINING,MIAMI_ACTION,NEW YORK_ACTION,MIAMI_SCORE,NEW YORK_SCORE
2,1:15.0,D. Waiters makes 2-pt jump shot from 17 ft (assist by G. Dragić),,53,59
2,1:04.0,,Personal foul by G. Dragić (drawn by E. Mudiay),53,59
2,1:04.0,,E. Mudiay makes free throw 1 of 2,53,60
2,1:04.0,,E. Mudiay makes free throw 2 of 2,53,61
2,0:49.0,J. Johnson makes 2-pt dunk from 1 ft (assist by G. Dragić),,55,61
2,0:49.0,,L. Thomas enters the game for L. Kornet,55,61
2,0:32.0,,Turnover by K. Knox (lost ball; steal by D. Wade),55,61
2,0:26.0,D. Wade misses 2-pt jump shot from 8 ft,,55,61
2,0:24.0,,Defensive rebound by K. Knox,55,61
2,0:02.0,,K. Allen misses 3-pt jump shot from 23 ft,55,61
2,0:01.0,Defensive rebound by J. Johnson,,55,61
2,0:00.0,J. Johnson misses 3-pt jump shot from 68 ft,,55,61
2,0:00.0,Offensive rebound by Team,,55,61
3,11:38.0,,K. Knox misses 3-pt jump shot from 24 ft,55,61
3,11:36.0,Defensive rebound by B. Adebayo,,55,61
3,11:20.0,B. Adebayo misses 2-pt layup from 1 ft,,55,61
3,11:18.0,,Defensive rebound by M. Robinson,55,61
3,11:05.0,,Turnover by D. Dotson (bad pass; steal by D. Jones),55,61
3,11:03.0,Personal foul by E. Mudiay (drawn by D. Jones),,55,61
3,10:56.0,Turnover by G. Dragić (bad pass; steal by M. Robinson),,55,61
3,10:50.0,,Turnover by E. Mudiay (bad pass; steal by B. Adebayo),55,61
3,10:42.0,Turnover by G. Dragić (step out of bounds),,55,61
3,10:33.0,,D. Dotson misses 2-pt jump shot from 18 ft,55,61
3,10:31.0,Defensive rebound by D. Jones,,55,61
3,10:16.0,D. Waiters misses 3-pt jump shot from 26 ft,,55,61
3,10:14.0,,Defensive rebound by M. Robinson,55,61
3,10:03.0,,Turnover by D. Dotson (bad pass; steal by D. Jones),55,61
3,9:54.0,Shooting foul by E. Mudiay (drawn by K. Olynyk),,55,61
3,9:54.0,K. Olynyk makes free throw 1 of 2,,56,61
3,9:54.0,K. Olynyk misses free throw 2 of 2,,56,61
3,9:53.0,,Defensive rebound by L. Kornet,56,61
3,9:44.0,,E. Mudiay makes 2-pt layup from 1 ft,56,63
3,9:37.0,Turnover by B. Adebayo (lost ball; steal by K. Knox),,56,63
