QUARTER,TIME_REMAINING,DETROIT_ACTION,MIAMI_ACTION,DETROIT_SCORE,MIAMI_SCORE
4,7:29.0,L. Galloway makes 3-pt jump shot from 23 ft (assist by B. Griffin),,101,84
4,7:13.0,,J. Richardson misses 3-pt jump shot from 24 ft,101,84
4,7:11.0,Defensive rebound by A. Drummond,,101,84
4,6:56.0,L. Galloway makes 3-pt jump shot from 23 ft (assist by B. Griffin),,104,84
4,6:56.0,Shooting foul by J. Richardson (drawn by L. Galloway),,104,84
4,6:56.0,L. Galloway makes free throw 1 of 1,,105,84
4,6:40.0,,D. Jones misses 3-pt jump shot from 22 ft,105,84
4,6:38.0,Defensive rebound by L. Kennard,,105,84
4,6:38.0,,K. Olynyk enters the game for D. Jones,105,84
4,6:14.0,B. Griffin makes 2-pt layup from 1 ft,,107,84
4,6:05.0,,Shooting foul by L. Kennard (drawn by D. Wade),107,84
4,6:05.0,,Offensive rebound by Team,107,84
4,6:05.0,,D. Wade misses free throw 1 of 2,107,84
4,6:05.0,,D. Wade misses free throw 2 of 2,107,84
4,6:02.0,Defensive rebound by A. Drummond,,107,84
4,5:44.0,B. Griffin misses 3-pt jump shot from 23 ft,,107,84
4,5:41.0,,Defensive rebound by D. Wade,107,84
4,5:40.0,,Personal foul by A. Drummond (drawn by J. Richardson),107,84
4,5:31.0,,J. Richardson misses 3-pt jump shot from 27 ft,107,84
4,5:26.0,Defensive rebound by B. Griffin,,107,84
4,5:23.0,B. Griffin makes 2-pt layup from 1 ft,,109,84
4,5:23.0,Shooting foul by K. Olynyk (drawn by B. Griffin),,109,84
4,5:23.0,B. Griffin misses free throw 1 of 1,,109,84
4,5:19.0,,Defensive rebound by H. Whiteside,109,84
4,5:08.0,,H. Whiteside makes 2-pt hook shot from 5 ft (assist by D. Wade),109,86
4,5:08.0,Detroit full timeout,,109,86
4,5:08.0,,D. Robinson enters the game for D. Wade,109,86
4,4:47.0,L. Kennard misses 3-pt jump shot from 24 ft,,109,86
4,4:45.0,Offensive rebound by A. Drummond,,109,86
4,4:34.0,I. Smith makes 2-pt layup from 2 ft,,111,86
4,4:22.0,,Def 3 sec tech foul by Team,111,86
4,4:22.0,,J. Richardson makes technical free throw,111,87
4,4:22.0,,D. Jones enters the game for J. Richardson,111,87
