QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,UTAH_ACTION,NEW ORLEANS_SCORE,UTAH_SCORE
3,1:19.0,Defensive rebound by C. Diallo,,79,84
3,1:11.0,D. Miller makes 2-pt jump shot from 19 ft (assist by E. Payton),,81,84
3,0:57.0,,Shooting foul by C. Diallo (drawn by D. Favors),81,84
3,0:57.0,,D. Favors makes free throw 1 of 2,81,85
3,0:57.0,,D. Favors makes free throw 2 of 2,81,86
3,0:46.0,Turnover by E. Moore (bad pass),,81,86
3,0:38.0,,Shooting foul by E. Payton (drawn by J. Ingles),81,86
3,0:38.0,,J. Ingles makes free throw 1 of 2,81,87
3,0:38.0,,J. Ingles makes free throw 2 of 2,81,88
3,0:32.0,Shooting foul by J. Crowder (drawn by C. Diallo),,81,88
3,0:32.0,C. Diallo misses free throw 1 of 2,,81,88
3,0:32.0,Offensive rebound by Team,,81,88
3,0:32.0,C. Diallo makes free throw 2 of 2,,82,88
3,0:20.0,,J. Ingles misses 3-pt jump shot from 25 ft,82,88
3,0:15.0,Defensive rebound by D. Miller,,82,88
3,0:01.0,J. Randle misses 2-pt jump shot from 9 ft (block by D. Favors),,82,88
3,0:00.0,Offensive rebound by Team,,82,88
4,11:51.0,,Turnover by D. Favors (lost ball; steal by F. Jackson),82,88
4,11:48.0,Offensive foul by C. Diallo (drawn by K. Korver),,82,88
4,11:48.0,Turnover by C. Diallo (offensive foul),,82,88
4,11:37.0,,J. Crowder makes 3-pt jump shot from 25 ft (assist by J. Ingles),82,91
4,11:14.0,K. Williams misses 3-pt jump shot from 25 ft,,82,91
4,11:11.0,,Defensive rebound by Team,82,91
4,10:54.0,,Turnover by R. O'Neale (bad pass),82,91
4,10:38.0,J. Holiday misses 2-pt hook shot from 4 ft,,82,91
4,10:36.0,,Defensive rebound by K. Korver,82,91
4,10:24.0,,D. Favors makes 2-pt layup from 2 ft (assist by J. Ingles),82,93
4,10:24.0,,Shooting foul by C. Diallo (drawn by D. Favors),82,93
4,10:24.0,,D. Favors makes free throw 1 of 1,82,94
4,10:13.0,J. Holiday makes 2-pt jump shot from 12 ft,,84,94
4,10:03.0,,D. Favors makes 2-pt jump shot from 16 ft (assist by J. Ingles),84,96
4,9:48.0,J. Holiday misses 2-pt jump shot from 11 ft,,84,96
4,9:43.0,,Defensive rebound by J. Ingles,84,96
4,9:36.0,,Personal foul by F. Jackson (drawn by J. Crowder),84,96
4,9:28.0,,D. Favors makes 2-pt layup from 2 ft (assist by J. Ingles),84,98
4,9:16.0,Personal foul by J. Ingles (drawn by J. Holiday),,84,98
4,9:16.0,J. Randle enters the game for C. Diallo,,84,98
4,9:11.0,J. Holiday makes 3-pt jump shot from 26 ft (assist by J. Randle),,87,98
4,8:57.0,,Turnover by J. Ingles (bad pass; steal by K. Williams),87,98
4,8:48.0,J. Randle makes 2-pt jump shot from 5 ft,,89,98
4,8:48.0,,D. Mitchell enters the game for R. O'Neale,89,98
4,8:30.0,,K. Korver makes 2-pt jump shot from 21 ft (assist by J. Ingles),89,100
4,8:19.0,J. Holiday misses 3-pt jump shot from 25 ft,,89,100
4,8:19.0,,Defensive rebound by J. Crowder,89,100
4,8:10.0,,D. Favors makes 2-pt layup from 2 ft (assist by J. Ingles),89,102
4,8:10.0,,Shooting foul by J. Randle (drawn by D. Favors),89,102
4,8:10.0,,D. Favors makes free throw 1 of 1,89,103
4,7:59.0,J. Randle makes 2-pt dunk from 3 ft (assist by D. Miller),,91,103
4,7:41.0,,K. Korver misses 2-pt jump shot from 9 ft,91,103
4,7:38.0,Defensive rebound by K. Williams,,91,103
4,7:27.0,J. Randle makes 2-pt jump shot from 6 ft,,93,103
4,7:27.0,Shooting foul by D. Favors (drawn by J. Randle),,93,103
4,7:27.0,,R. Gobert enters the game for D. Favors,93,103
4,7:27.0,,R. Rubio enters the game for K. Korver,93,103
4,7:27.0,J. Randle misses free throw 1 of 1,,93,103
4,7:25.0,Offensive rebound by K. Williams,,93,103
4,7:22.0,F. Jackson makes 2-pt jump shot from 11 ft (assist by K. Williams),,95,103
4,7:05.0,,Turnover by J. Ingles (bad pass; steal by F. Jackson),95,103
4,6:58.0,Offensive foul by F. Jackson (drawn by R. Gobert),,95,103
4,6:58.0,Turnover by F. Jackson (offensive foul),,95,103
4,6:58.0,,Utah full timeout,95,103
4,6:58.0,,K. Korver enters the game for J. Crowder,95,103
4,6:58.0,,T. Sefolosha enters the game for J. Ingles,95,103
4,6:46.0,,K. Korver misses 3-pt jump shot from 24 ft,95,103
4,6:43.0,Defensive rebound by J. Randle,,95,103
4,6:33.0,Personal foul by D. Mitchell (drawn by J. Holiday),,95,103
4,6:33.0,E. Moore enters the game for J. Holiday,,95,103
4,6:33.0,E. Payton enters the game for F. Jackson,,95,103
4,6:26.0,J. Randle makes 2-pt layup from 3 ft (assist by D. Miller),,97,103
4,6:15.0,,Turnover by D. Mitchell (bad pass; steal by J. Randle),97,103
4,6:13.0,Personal take foul by K. Korver (drawn by J. Randle),,97,103
4,6:08.0,J. Randle misses 2-pt layup from 3 ft,,97,103
4,6:06.0,,Defensive rebound by R. Rubio,97,103
4,6:02.0,,D. Mitchell misses 3-pt jump shot from 25 ft,97,103
4,5:55.0,Defensive rebound by K. Williams,,97,103
4,5:40.0,J. Randle makes 2-pt jump shot from 11 ft,,99,103
4,5:24.0,,R. Rubio misses 2-pt jump shot from 9 ft,99,103
4,5:20.0,Defensive rebound by K. Williams,,99,103
4,5:15.0,E. Payton makes 2-pt layup from 3 ft,,101,103
4,5:00.0,,D. Mitchell misses 2-pt layup from 5 ft,101,103
4,4:59.0,,Offensive rebound by Team,101,103
4,4:59.0,Loose ball foul by D. Miller (drawn by R. Gobert),,101,103
