QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,DALLAS_ACTION,OKLAHOMA CITY_SCORE,DALLAS_SCORE
2,1:37.0,,D. Harris enters the game for L. Dončić,35,57
2,1:37.0,S. Adams misses free throw 1 of 1,,35,57
2,1:34.0,Offensive rebound by P. George,,35,57
2,1:27.0,P. George makes 2-pt layup at rim,,37,57
2,1:26.0,,Dallas full timeout,37,57
2,1:07.0,,Turnover by D. Jordan (lost ball; steal by D. Schröder),37,57
2,1:05.0,J. Grant makes 2-pt layup from 1 ft,,39,57
2,1:05.0,Shooting foul by D. Harris (drawn by J. Grant),,39,57
2,1:05.0,J. Grant makes free throw 1 of 1,,40,57
2,0:51.0,,Turnover by D. Smith (bad pass; steal by P. George),40,57
2,0:42.0,S. Adams makes 2-pt layup from 1 ft (assist by P. George),,42,57
2,0:27.0,,D. Finney-Smith misses 2-pt layup from 1 ft,42,57
2,0:27.0,,Offensive rebound by Team,42,57
2,0:14.0,,D. Finney-Smith misses 2-pt jump shot from 14 ft,42,57
2,0:12.0,Defensive rebound by P. George,,42,57
2,0:01.0,P. George makes 3-pt jump shot from 26 ft,,45,57
2,0:00.0,,D. Harris misses 3-pt jump shot from 69 ft,45,57
2,0:00.0,,Offensive rebound by Team,45,57
3,11:47.0,,D. Smith makes 3-pt jump shot from 24 ft (assist by L. Dončić),45,60
3,11:27.0,D. Schröder misses 3-pt jump shot from 26 ft,,45,60
3,11:25.0,Offensive rebound by T. Ferguson,,45,60
3,11:22.0,S. Adams misses 2-pt hook shot from 11 ft,,45,60
3,11:21.0,,Defensive rebound by L. Dončić,45,60
3,11:08.0,Violation by Team (kicked ball),,45,60
3,10:58.0,,D. Smith misses 3-pt jump shot from 26 ft,45,60
3,10:55.0,Defensive rebound by S. Adams,,45,60
3,10:48.0,D. Schröder misses 2-pt jump shot from 9 ft,,45,60
3,10:45.0,,Defensive rebound by D. Jordan,45,60
3,10:35.0,,D. Jordan makes 2-pt layup from 1 ft (assist by L. Dončić),45,62
3,10:23.0,T. Ferguson misses 3-pt jump shot from 25 ft,,45,62
3,10:22.0,,Defensive rebound by Team,45,62
3,10:15.0,,W. Matthews misses 2-pt layup from 1 ft,45,62
3,10:13.0,Defensive rebound by P. George,,45,62
3,10:07.0,P. George makes 2-pt jump shot from 13 ft,,47,62
3,9:52.0,,H. Barnes makes 3-pt jump shot from 25 ft (assist by L. Dončić),47,65
3,9:22.0,P. George misses 2-pt jump shot from 13 ft,,47,65
3,9:20.0,Offensive rebound by S. Adams,,47,65
3,9:15.0,T. Ferguson misses 3-pt jump shot from 25 ft,,47,65
3,9:12.0,,Defensive rebound by D. Smith,47,65
3,9:07.0,,L. Dončić makes 3-pt jump shot from 25 ft (assist by D. Smith),47,68
3,8:52.0,D. Schröder makes 2-pt jump shot from 6 ft,,49,68
3,8:52.0,Á. Abrines enters the game for T. Ferguson,,49,68
3,8:33.0,,Turnover by L. Dončić (bad pass),49,68
3,8:21.0,J. Grant makes 3-pt jump shot from 25 ft (assist by P. George),,52,68
3,8:00.0,,H. Barnes misses 3-pt jump shot from 22 ft,52,68
3,7:57.0,Defensive rebound by D. Schröder,,52,68
3,7:43.0,P. George makes 3-pt jump shot from 25 ft,,55,68
3,7:43.0,,Dallas full timeout,55,68
3,7:27.0,,W. Matthews makes 3-pt jump shot from 26 ft (assist by L. Dončić),55,71
3,7:07.0,Á. Abrines makes 3-pt jump shot from 25 ft (assist by S. Adams),,58,71
3,6:47.0,,W. Matthews misses 2-pt jump shot from 16 ft,58,71
3,6:45.0,,Offensive rebound by Team,58,71
