QUARTER,TIME_REMAINING,PHOENIX_ACTION,SACRAMENTO_ACTION,PHOENIX_SCORE,SACRAMENTO_SCORE
3,6:21.0,J. Jackson makes free throw 2 of 2,,50,74
3,6:10.0,,Turnover by D. Fox (bad pass; steal by M. Bridges),50,74
3,6:05.0,J. Jackson makes 2-pt dunk from 1 ft (assist by M. Bridges),,52,74
3,5:49.0,,B. Hield misses 3-pt jump shot from 24 ft,52,74
3,5:45.0,Defensive rebound by J. Jackson,,52,74
3,5:39.0,Offensive foul by D. Ayton (drawn by H. Barnes),,52,74
3,5:39.0,Turnover by D. Ayton (offensive foul),,52,74
3,5:39.0,D. Bender enters the game for M. Bridges,,52,74
3,5:39.0,,M. Bagley enters the game for N. Bjelica,52,74
3,5:39.0,,B. Bogdanović enters the game for B. Hield,52,74
3,5:17.0,,D. Fox misses 3-pt jump shot from 23 ft,52,74
3,5:15.0,,Offensive rebound by W. Cauley-Stein,52,74
3,5:15.0,,W. Cauley-Stein misses 2-pt dunk from 1 ft,52,74
3,5:14.0,Defensive rebound by D. Bender,,52,74
3,5:11.0,J. Jackson makes 3-pt jump shot from 25 ft (assist by D. Bender),,55,74
3,5:11.0,,Sacramento full timeout,55,74
3,5:10.0,,Personal foul by K. Oubre (drawn by B. Bogdanović),55,74
3,4:57.0,,Shooting foul by D. Bender (drawn by M. Bagley),55,74
3,4:57.0,,M. Bagley makes free throw 1 of 2,55,75
3,4:57.0,,M. Bagley makes free throw 2 of 2,55,76
3,4:36.0,Personal foul by W. Cauley-Stein (drawn by E. Okobo),,55,76
3,4:36.0,E. Okobo makes free throw 1 of 2,,56,76
3,4:36.0,E. Okobo makes free throw 2 of 2,,57,76
3,4:25.0,,Turnover by B. Bogdanović (bad pass),57,76
3,4:14.0,Turnover by J. Jackson (bad pass; steal by D. Fox),,57,76
3,4:11.0,,Turnover by D. Fox (bad pass),57,76
3,4:01.0,K. Oubre misses 3-pt jump shot from 27 ft,,57,76
3,3:58.0,,Defensive rebound by B. Bogdanović,57,76
3,3:46.0,,M. Bagley misses 2-pt hook shot from 6 ft,57,76
3,3:44.0,Defensive rebound by E. Okobo,,57,76
3,3:39.0,J. Jackson misses 3-pt jump shot from 26 ft,,57,76
3,3:36.0,,Defensive rebound by D. Fox,57,76
3,3:35.0,,Personal foul by E. Okobo (drawn by D. Fox),57,76
3,3:35.0,,D. Fox makes free throw 1 of 2,57,77
3,3:35.0,D. Booker enters the game for D. Ayton,,57,77
3,3:35.0,R. Holmes enters the game for J. Jackson,,57,77
3,3:35.0,,H. Giles enters the game for W. Cauley-Stein,57,77
3,3:35.0,,D. Fox misses free throw 2 of 2,57,77
3,3:29.0,Defensive rebound by R. Holmes,,57,77
3,3:24.0,Turnover by E. Okobo (bad pass; steal by B. Bogdanović),,57,77
3,3:12.0,,M. Bagley makes 2-pt layup from 4 ft (assist by B. Bogdanović),57,79
3,2:58.0,K. Oubre misses 2-pt jump shot from 5 ft,,57,79
3,2:53.0,,Defensive rebound by H. Barnes,57,79
3,2:53.0,,Shooting foul by E. Okobo (drawn by H. Barnes),57,79
3,2:53.0,,H. Barnes makes free throw 1 of 2,57,80
3,2:53.0,,Y. Ferrell enters the game for D. Fox,57,80
3,2:53.0,,H. Barnes makes free throw 2 of 2,57,81
3,2:40.0,K. Oubre misses 2-pt layup from 3 ft,,57,81
3,2:40.0,Offensive rebound by R. Holmes,,57,81
3,2:40.0,Personal foul by B. Bogdanović (drawn by R. Holmes),,57,81
3,2:40.0,R. Holmes makes free throw 1 of 2,,58,81
3,2:40.0,R. Holmes makes free throw 2 of 2,,59,81
3,2:26.0,,Turnover by B. Bogdanović (bad pass),59,81
3,2:10.0,Shooting foul by H. Giles (drawn by R. Holmes),,59,81
3,2:10.0,R. Holmes makes free throw 1 of 2,,60,81
3,2:10.0,,A. Burks enters the game for H. Barnes,60,81
3,2:10.0,R. Holmes makes free throw 2 of 2,,61,81
3,2:00.0,,B. Bogdanović makes 2-pt jump shot from 17 ft,61,83
3,1:50.0,E. Okobo makes 2-pt layup from 2 ft,,63,83
3,1:32.0,,Offensive foul by B. Bogdanović (drawn by D. Booker),63,83
3,1:32.0,,Turnover by B. Bogdanović (offensive foul),63,83
3,1:32.0,Phoenix full timeout,,63,83
3,1:32.0,M. Bridges enters the game for D. Booker,,63,83
3,1:23.0,Personal foul by H. Giles (drawn by R. Holmes),,63,83
3,1:23.0,R. Holmes makes free throw 1 of 2,,64,83
3,1:23.0,R. Holmes makes free throw 2 of 2,,65,83
3,1:13.0,,M. Bagley misses 3-pt jump shot from 23 ft,65,83
3,1:09.0,Defensive rebound by K. Oubre,,65,83
3,1:02.0,K. Oubre makes 2-pt jump shot from 7 ft,,67,83
3,0:52.0,,B. Bogdanović misses 2-pt jump shot from 7 ft,67,83
3,0:50.0,Defensive rebound by K. Oubre,,67,83
3,0:47.0,E. Okobo makes 2-pt layup from 3 ft (assist by K. Oubre),,69,83
3,0:47.0,,Sacramento full timeout,69,83
3,0:47.0,Technical foul by J. Jackson,,69,83
3,0:47.0,,Y. Ferrell makes technical free throw,69,84
3,0:37.0,,Personal foul by M. Bridges (drawn by B. Bogdanović),69,84
3,0:37.0,,B. Bogdanović misses free throw 1 of 2,69,84
3,0:37.0,,Offensive rebound by Team,69,84
3,0:37.0,,B. Bogdanović makes free throw 2 of 2,69,85
3,0:20.0,Shooting foul by H. Giles (drawn by M. Bridges),,69,85
3,0:20.0,M. Bridges makes free throw 1 of 2,,70,85
3,0:20.0,J. Jackson enters the game for D. Bender,,70,85
3,0:20.0,,N. Bjelica enters the game for H. Giles,70,85
3,0:20.0,M. Bridges misses free throw 2 of 2,,70,85
3,0:17.0,,Defensive rebound by M. Bagley,70,85
3,0:01.0,,B. Bogdanović misses 2-pt layup from 2 ft (block by J. Jackson),70,85
3,0:01.0,,Offensive rebound by M. Bagley,70,85
3,0:01.0,,M. Bagley makes 2-pt layup from 2 ft,70,87
3,0:00.0,Shooting foul by Y. Ferrell (drawn by M. Bridges),,70,87
3,0:00.0,M. Bridges makes free throw 1 of 2,,71,87
3,0:00.0,M. Bridges makes free throw 2 of 2,,72,87
4,11:45.0,R. Holmes misses 2-pt layup from 5 ft (block by N. Bjelica),,72,87
4,11:43.0,Offensive rebound by R. Holmes,,72,87
4,11:36.0,D. Booker makes 3-pt jump shot from 24 ft (assist by D. Bender),,75,87
4,11:26.0,,Personal foul by D. Booker (drawn by B. Bogdanović),75,87
4,11:26.0,J. Jackson enters the game for D. Bender,,75,87
4,11:16.0,,Shooting foul by R. Holmes (drawn by M. Bagley),75,87
4,11:16.0,,M. Bagley makes free throw 1 of 2,75,88
4,11:16.0,,M. Bagley makes free throw 2 of 2,75,89
4,11:04.0,D. Booker misses 2-pt jump shot from 14 ft,,75,89
4,11:01.0,,Defensive rebound by A. Burks,75,89
4,10:54.0,,Shooting foul by R. Holmes (drawn by M. Bagley),75,89
4,10:54.0,,M. Bagley makes free throw 1 of 2,75,90
4,10:54.0,T. Johnson enters the game for D. Booker,,75,90
4,10:54.0,,M. Bagley makes free throw 2 of 2,75,91
4,10:41.0,M. Bridges makes 2-pt layup from 3 ft,,77,91
