QUARTER,TIME_REMAINING,DALLAS_ACTION,TORONTO_ACTION,DALLAS_SCORE,TORONTO_SCORE
4,10:37.0,J. Barea misses 2-pt layup from 4 ft,,89,94
4,10:34.0,,Defensive rebound by K. Leonard,89,94
4,10:27.0,,L. Brown makes 3-pt jump shot from 25 ft (assist by P. Siakam),89,97
4,10:26.0,Dallas full timeout,,89,97
4,10:18.0,Turnover by J. Barea (bad pass; steal by L. Brown),,89,97
4,10:15.0,,L. Brown makes 2-pt dunk at rim,89,99
4,10:01.0,W. Matthews misses 3-pt jump shot from 27 ft (block by K. Leonard),,89,99
4,9:58.0,,Defensive rebound by P. Siakam,89,99
4,9:52.0,,S. Ibaka misses 3-pt jump shot from 26 ft,89,99
4,9:49.0,Defensive rebound by J. Barea,,89,99
4,9:35.0,H. Barnes misses 2-pt layup from 2 ft,,89,99
4,9:35.0,Offensive rebound by H. Barnes,,89,99
4,9:35.0,Shooting foul by P. Siakam (drawn by H. Barnes),,89,99
4,9:35.0,H. Barnes makes free throw 1 of 2,,90,99
4,9:35.0,H. Barnes makes free throw 2 of 2,,91,99
4,9:21.0,,K. Leonard misses 2-pt jump shot from 15 ft,91,99
4,9:18.0,Defensive rebound by H. Barnes,,91,99
4,9:13.0,Offensive foul by D. Powell (drawn by K. Leonard),,91,99
4,9:13.0,Turnover by D. Powell (offensive foul),,91,99
4,9:02.0,,Offensive foul by P. Siakam (drawn by W. Matthews),91,99
4,9:02.0,,Turnover by P. Siakam (offensive foul),91,99
4,8:45.0,J. Barea misses 2-pt jump shot from 19 ft,,91,99
4,8:43.0,,Defensive rebound by K. Leonard,91,99
4,8:37.0,,S. Ibaka makes 2-pt dunk at rim (assist by K. Leonard),91,101
4,8:36.0,Dallas full timeout,,91,101
4,8:36.0,J. Brunson enters the game for J. Barea,,91,101
4,8:36.0,L. Dončić enters the game for H. Barnes,,91,101
4,8:36.0,D. Jordan enters the game for D. Powell,,91,101
4,8:36.0,,K. Lowry enters the game for K. Leonard,91,101
4,8:17.0,Turnover by J. Brunson (bad pass; steal by N. Powell),,91,101
4,8:09.0,,S. Ibaka misses 2-pt jump shot from 12 ft,91,101
4,8:06.0,Defensive rebound by D. Jordan,,91,101
4,7:46.0,D. Jordan misses 2-pt jump shot from 21 ft,,91,101
4,7:44.0,,Defensive rebound by S. Ibaka,91,101
4,7:32.0,,S. Ibaka makes 2-pt layup from 2 ft (assist by L. Brown),91,103
4,7:15.0,W. Matthews makes 2-pt jump shot from 8 ft,,93,103
4,6:59.0,,K. Lowry misses 3-pt jump shot from 26 ft,93,103
4,6:55.0,,Offensive rebound by P. Siakam,93,103
4,6:53.0,,Turnover by P. Siakam (bad pass; steal by M. Kleber),93,103
4,6:47.0,D. Jordan misses 2-pt hook shot from 3 ft,,93,103
4,6:45.0,Offensive rebound by M. Kleber,,93,103
4,6:44.0,M. Kleber misses 2-pt hook shot from 3 ft,,93,103
4,6:44.0,Offensive rebound by D. Jordan,,93,103
4,6:40.0,D. Jordan misses 2-pt layup from 1 ft,,93,103
4,6:39.0,,Defensive rebound by P. Siakam,93,103
4,6:32.0,,S. Ibaka misses 3-pt jump shot from 24 ft,93,103
4,6:30.0,Defensive rebound by L. Dončić,,93,103
4,6:27.0,D. Jordan makes 2-pt layup from 2 ft (assist by L. Dončić),,95,103
