QUARTER,TIME_REMAINING,MINNESOTA_ACTION,HOUSTON_ACTION,MINNESOTA_SCORE,HOUSTON_SCORE
3,6:07.0,A. Wiggins misses 2-pt jump shot from 1 ft,,60,75
3,6:07.0,,Defensive rebound by D. House,60,75
3,5:57.0,,E. Gordon misses 3-pt jump shot from 26 ft,60,75
3,5:54.0,Defensive rebound by J. Okogie,,60,75
3,5:45.0,J. Okogie misses 2-pt layup from 2 ft,,60,75
3,5:43.0,,Defensive rebound by J. Harden,60,75
3,5:38.0,,D. House makes 3-pt jump shot from 23 ft (assist by E. Gordon),60,78
3,5:12.0,A. Wiggins misses 2-pt layup from 1 ft,,60,78
3,5:09.0,Offensive rebound by T. Gibson,,60,78
3,5:09.0,T. Gibson makes 2-pt layup from 1 ft,,62,78
3,4:45.0,,J. Harden misses 3-pt jump shot from 27 ft,62,78
3,4:44.0,,Offensive rebound by Team,62,78
3,4:44.0,K. Bates-Diop enters the game for K. Towns,,62,78
3,4:44.0,A. Tolliver enters the game for A. Wiggins,,62,78
3,4:44.0,,G. Green enters the game for E. Gordon,62,78
3,4:36.0,,C. Capela makes 2-pt dunk from 1 ft (assist by J. Harden),62,80
3,4:18.0,J. Okogie makes 3-pt jump shot from 27 ft (assist by T. Jones),,65,80
3,4:18.0,J. Bayless enters the game for T. Jones,,65,80
3,4:18.0,,N. Hilário enters the game for C. Capela,65,80
3,3:57.0,,J. Harden makes 3-pt jump shot from 26 ft (assist by N. Hilário),65,83
3,3:40.0,J. Bayless makes 2-pt jump shot from 20 ft (assist by J. Okogie),,67,83
3,3:28.0,,J. Harden makes 2-pt layup from 3 ft,67,85
3,3:15.0,A. Tolliver makes 3-pt jump shot from 26 ft (assist by J. Bayless),,70,85
3,3:05.0,,Offensive foul by D. House (drawn by J. Okogie),70,85
3,3:05.0,,Turnover by D. House (offensive foul),70,85
3,2:51.0,J. Bayless misses 3-pt jump shot from 26 ft,,70,85
3,2:49.0,,Defensive rebound by G. Green,70,85
3,2:42.0,,D. House makes 3-pt jump shot from 27 ft (assist by I. Shumpert),70,88
3,2:19.0,T. Gibson makes 2-pt layup at rim,,72,88
3,2:19.0,Shooting foul by N. Hilário (drawn by T. Gibson),,72,88
3,2:19.0,C. Reynolds enters the game for J. Okogie,,72,88
3,2:19.0,T. Gibson makes free throw 1 of 1,,73,88
3,2:07.0,,J. Harden misses 3-pt jump shot from 27 ft,73,88
3,2:06.0,Defensive rebound by A. Tolliver,,73,88
3,1:55.0,C. Reynolds misses 3-pt jump shot from 23 ft,,73,88
3,1:55.0,Offensive rebound by Team,,73,88
3,1:55.0,,Loose ball foul by N. Hilário (drawn by T. Gibson),73,88
3,1:55.0,T. Gibson misses free throw 1 of 2,,73,88
3,1:55.0,Offensive rebound by Team,,73,88
3,1:55.0,,C. Paul enters the game for J. Harden,73,88
3,1:55.0,T. Gibson makes free throw 2 of 2,,74,88
3,1:48.0,,G. Green misses 3-pt jump shot from 26 ft,74,88
3,1:47.0,Defensive rebound by K. Bates-Diop,,74,88
