QUARTER,TIME_REMAINING,MIAMI_ACTION,HOUSTON_ACTION,MIAMI_SCORE,HOUSTON_SCORE
4,7:17.0,D. Waiters makes 3-pt jump shot from 26 ft,,108,101
4,7:01.0,,Turnover by J. Harden (lost ball; steal by D. Waiters),108,101
4,6:56.0,Shooting foul by A. Rivers (drawn by G. Dragić),,108,101
4,6:56.0,,Violation by Team (delay of game),108,101
4,6:56.0,G. Dragić makes free throw 1 of 2,,109,101
4,6:56.0,G. Dragić makes free throw 2 of 2,,110,101
4,6:38.0,,G. Green misses 3-pt jump shot from 25 ft,110,101
4,6:36.0,,Offensive rebound by J. Harden,110,101
4,6:33.0,,J. Harden makes 2-pt layup from 1 ft,110,103
4,6:18.0,G. Dragić makes 3-pt jump shot from 26 ft (assist by J. Winslow),,113,103
4,6:09.0,,J. Harden makes 2-pt jump shot from 6 ft,113,105
4,6:09.0,,Shooting foul by J. Richardson (drawn by J. Harden),113,105
4,6:09.0,,J. Harden makes free throw 1 of 1,113,106
4,6:00.0,Turnover by J. Winslow (lost ball; steal by J. Harden),,113,106
4,5:57.0,,J. Harden misses 2-pt layup from 1 ft,113,106
4,5:54.0,Defensive rebound by J. Winslow,,113,106
4,5:41.0,Turnover by J. Winslow (bad pass; steal by C. Capela),,113,106
4,5:33.0,,Shooting foul by J. Winslow (drawn by J. Harden),113,106
4,5:33.0,,J. Harden makes free throw 1 of 3,113,107
4,5:33.0,,J. Harden makes free throw 2 of 3,113,108
4,5:33.0,,J. Harden makes free throw 3 of 3,113,109
4,5:13.0,G. Dragić misses 3-pt jump shot from 29 ft,,113,109
4,5:11.0,,Defensive rebound by G. Clark,113,109
4,5:05.0,,C. Capela makes 2-pt layup from 1 ft (assist by J. Harden),113,111
4,4:44.0,G. Dragić misses 2-pt layup from 2 ft,,113,111
4,4:43.0,,Defensive rebound by G. Clark,113,111
4,4:31.0,,J. Harden makes 2-pt layup from 1 ft,113,113
4,4:07.0,J. Winslow misses 2-pt jump shot from 13 ft,,113,113
4,4:06.0,,Defensive rebound by G. Clark,113,113
4,3:54.0,,J. Harden misses 3-pt jump shot from 25 ft,113,113
4,3:53.0,Defensive rebound by K. Olynyk,,113,113
4,3:43.0,Offensive foul by K. Olynyk (drawn by J. Harden),,113,113
4,3:43.0,Turnover by K. Olynyk (offensive foul),,113,113
4,3:43.0,,Houston full timeout,113,113
4,3:43.0,B. Adebayo enters the game for G. Dragić,,113,113
4,3:43.0,D. Wade enters the game for K. Olynyk,,113,113
4,3:43.0,,C. Paul enters the game for G. Clark,113,113
4,3:27.0,,Personal foul by J. Winslow (drawn by C. Paul),113,113
4,3:27.0,,C. Paul makes free throw 1 of 2,113,114
4,3:27.0,,C. Paul makes free throw 2 of 2,113,115
4,3:16.0,J. Richardson misses 2-pt jump shot from 23 ft,,113,115
4,3:15.0,Offensive rebound by B. Adebayo,,113,115
4,2:59.0,D. Wade misses 2-pt jump shot from 18 ft,,113,115
4,2:58.0,,Defensive rebound by C. Capela,113,115
4,2:46.0,,J. Harden makes 2-pt layup from 2 ft,113,117
4,2:29.0,B. Adebayo makes 2-pt dunk from 1 ft (assist by D. Wade),,115,117
4,2:29.0,Shooting foul by C. Capela (drawn by B. Adebayo),,115,117
