QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,MIAMI_ACTION,SAN ANTONIO_SCORE,MIAMI_SCORE
4,10:57.0,,T. Johnson makes 2-pt jump shot from 4 ft,66,79
4,10:44.0,Turnover by P. Mills (bad pass; steal by J. Richardson),,66,79
4,10:36.0,,W. Ellington makes 3-pt jump shot from 23 ft (assist by T. Johnson),66,82
4,10:24.0,Personal foul by B. Adebayo (drawn by L. Aldridge),,66,82
4,10:18.0,Turnover by M. Belinelli (lost ball; steal by T. Johnson),,66,82
4,10:09.0,,W. Ellington makes 3-pt jump shot from 23 ft (assist by B. Adebayo),66,85
4,10:08.0,San Antonio full timeout,,66,85
4,10:08.0,D. Cunningham enters the game for D. Bertāns,,66,85
4,10:08.0,D. DeRozan enters the game for B. Forbes,,66,85
4,9:52.0,P. Mills makes 3-pt jump shot from 26 ft (assist by D. Cunningham),,69,85
4,9:30.0,,W. Ellington misses 3-pt jump shot from 25 ft,69,85
4,9:28.0,,Offensive rebound by K. Olynyk,69,85
4,9:21.0,,T. Johnson misses 3-pt jump shot from 24 ft,69,85
4,9:19.0,Defensive rebound by L. Aldridge,,69,85
4,9:13.0,Shooting foul by J. Richardson (drawn by D. DeRozan),,69,85
4,9:13.0,D. DeRozan makes free throw 1 of 2,,70,85
4,9:13.0,D. DeRozan makes free throw 2 of 2,,71,85
4,9:03.0,,Miami full timeout,71,85
4,8:54.0,,B. Adebayo misses 2-pt layup from 3 ft,71,85
4,8:52.0,Defensive rebound by D. Cunningham,,71,85
4,8:44.0,D. DeRozan misses 3-pt jump shot from 26 ft,,71,85
4,8:44.0,,Defensive rebound by B. Adebayo,71,85
4,8:30.0,,T. Johnson makes 2-pt jump shot from 20 ft (assist by K. Olynyk),71,87
4,8:15.0,M. Belinelli misses 3-pt jump shot from 26 ft,,71,87
4,8:13.0,Offensive rebound by L. Aldridge,,71,87
4,8:07.0,L. Aldridge misses 2-pt jump shot from 10 ft (block by B. Adebayo),,71,87
4,8:02.0,,Defensive rebound by W. Ellington,71,87
4,7:57.0,,W. Ellington misses 3-pt jump shot from 26 ft,71,87
