QUARTER,TIME_REMAINING,PORTLAND_ACTION,LA LAKERS_ACTION,PORTLAND_SCORE,LA LAKERS_SCORE
4,11:34.0,,K. Caldwell-Pope makes free throw 2 of 2,89,99
4,11:18.0,M. Leonard misses 2-pt jump shot from 13 ft,,89,99
4,11:14.0,,Defensive rebound by L. Stephenson,89,99
4,11:10.0,,L. Stephenson misses 3-pt jump shot from 27 ft,89,99
4,11:06.0,Defensive rebound by M. Leonard,,89,99
4,10:55.0,M. Leonard misses 3-pt jump shot from 25 ft,,89,99
4,10:53.0,,Defensive rebound by K. Caldwell-Pope,89,99
4,10:44.0,,K. Caldwell-Pope makes 3-pt jump shot from 25 ft (assist by R. Rondo),89,102
4,10:41.0,C. McCollum misses 2-pt layup from 5 ft (block by J. McGee),,89,102
4,10:23.0,Offensive rebound by Team,,89,102
4,10:18.0,Z. Collins misses 2-pt jump shot from 20 ft,,89,102
4,10:13.0,,Defensive rebound by J. Hart,89,102
4,10:09.0,,J. Hart makes 3-pt jump shot from 26 ft (assist by R. Rondo),89,105
4,10:09.0,Portland full timeout,,89,105
4,10:09.0,J. Layman enters the game for Z. Collins,,89,105
4,10:09.0,D. Lillard enters the game for M. Leonard,,89,105
4,10:09.0,J. Nurkić enters the game for N. Stauskas,,89,105
4,9:55.0,E. Turner misses 2-pt layup from 2 ft (block by J. McGee),,89,105
4,9:54.0,Offensive rebound by Team,,89,105
4,9:48.0,Personal foul by J. Hart (drawn by D. Lillard),,89,105
4,9:35.0,D. Lillard makes 2-pt jump shot from 14 ft,,91,105
4,9:26.0,,Shooting foul by J. Nurkić (drawn by J. McGee),91,105
4,9:26.0,,J. McGee makes free throw 1 of 2,91,106
4,9:26.0,,J. McGee makes free throw 2 of 2,91,107
4,9:14.0,C. McCollum misses 3-pt jump shot from 26 ft,,91,107
4,9:12.0,,Defensive rebound by L. Stephenson,91,107
4,9:02.0,,K. Caldwell-Pope misses 3-pt jump shot from 24 ft,91,107
4,9:02.0,Defensive rebound by J. Nurkić,,91,107
4,9:02.0,Personal foul by L. Stephenson (drawn by J. Nurkić),,91,107
4,8:54.0,D. Lillard makes 2-pt layup from 3 ft,,93,107
4,8:53.0,,Turnover by J. Hart (inbound),93,107
4,8:53.0,Away from play foul by J. McGee (drawn by J. Nurkić),,93,107
4,8:53.0,D. Lillard makes free throw 1 of 1,,94,107
