QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,HOUSTON_ACTION,CHARLOTTE_SCORE,HOUSTON_SCORE
3,0:09.0,M. Monk makes free throw 2 of 2,,80,93
3,0:04.0,,C. Capela misses 2-pt layup from 2 ft,80,93
3,0:04.0,,Offensive rebound by Team,80,93
3,0:04.0,B. Biyombo enters the game for M. Monk,,80,93
3,0:00.0,,C. Paul misses 2-pt jump shot from 17 ft,80,93
3,0:00.0,,Offensive rebound by Team,80,93
4,11:37.0,,C. Capela makes 2-pt layup from 2 ft (assist by E. Gordon),80,95
4,11:12.0,J. Lamb misses 2-pt jump shot from 14 ft,,80,95
4,11:10.0,,Defensive rebound by C. Capela,80,95
4,10:57.0,,I. Shumpert misses 2-pt jump shot from 22 ft,80,95
4,10:54.0,Defensive rebound by D. Graham,,80,95
4,10:48.0,F. Kaminsky misses 3-pt jump shot from 28 ft,,80,95
4,10:45.0,,Defensive rebound by C. Capela,80,95
4,10:31.0,,E. Gordon misses 3-pt jump shot from 29 ft,80,95
4,10:28.0,Defensive rebound by D. Bacon,,80,95
4,10:24.0,Personal foul by C. Capela (drawn by D. Bacon),,80,95
4,10:24.0,,G. Green enters the game for I. Shumpert,80,95
4,10:13.0,F. Kaminsky makes 2-pt layup from 1 ft (assist by J. Lamb),,82,95
4,10:01.0,,E. Gordon misses 3-pt jump shot from 27 ft,82,95
4,9:57.0,,Offensive rebound by P. Tucker,82,95
4,9:55.0,,G. Green misses 3-pt jump shot from 26 ft,82,95
4,9:51.0,Defensive rebound by J. Lamb,,82,95
4,9:47.0,J. Lamb misses 3-pt jump shot from 25 ft,,82,95
4,9:45.0,,Defensive rebound by P. Tucker,82,95
4,9:34.0,,Turnover by C. Capela (traveling),82,95
4,9:22.0,M. Monk misses 3-pt jump shot from 27 ft,,82,95
4,9:19.0,,Defensive rebound by C. Capela,82,95
4,9:07.0,,C. Capela makes 2-pt layup from 2 ft (assist by P. Tucker),82,97
4,9:07.0,Charlotte full timeout,,82,97
4,9:07.0,W. Hernangómez enters the game for F. Kaminsky,,82,97
4,9:07.0,K. Walker enters the game for M. Monk,,82,97
4,8:50.0,K. Walker makes 3-pt jump shot from 26 ft,,85,97
4,8:29.0,,G. Green makes 3-pt jump shot from 27 ft (assist by P. Tucker),85,100
4,8:14.0,D. Bacon makes 2-pt layup from 1 ft (assist by W. Hernangómez),,87,100
4,7:54.0,,E. Gordon makes 3-pt jump shot from 28 ft (assist by G. Green),87,103
4,7:33.0,K. Walker misses 2-pt layup from 3 ft,,87,103
4,7:31.0,,Defensive rebound by E. Gordon,87,103
4,7:21.0,,G. Green misses 2-pt layup from 4 ft,87,103
4,7:19.0,Defensive rebound by W. Hernangómez,,87,103
4,7:17.0,Shooting foul by E. Gordon (drawn by D. Bacon),,87,103
4,7:17.0,D. Bacon makes free throw 1 of 2,,88,103
4,7:17.0,D. Bacon makes free throw 2 of 2,,89,103
4,7:05.0,,P. Tucker misses 3-pt jump shot from 24 ft,89,103
4,7:03.0,,Offensive rebound by C. Capela,89,103
4,6:59.0,,C. Paul makes 3-pt jump shot from 27 ft,89,106
4,6:43.0,D. Graham makes 3-pt jump shot from 23 ft (assist by W. Hernangómez),,92,106
4,6:32.0,,G. Green misses 3-pt jump shot from 23 ft,92,106
4,6:29.0,Defensive rebound by K. Walker,,92,106
4,6:25.0,K. Walker misses 2-pt layup from 3 ft (block by P. Tucker),,92,106
4,6:22.0,,Defensive rebound by C. Capela,92,106
4,6:20.0,,Personal foul by D. Graham (drawn by E. Gordon),92,106
4,6:20.0,M. Bridges enters the game for W. Hernangómez,,92,106
4,6:20.0,,J. Harden enters the game for G. Green,92,106
4,6:05.0,,P. Tucker misses 3-pt jump shot from 23 ft,92,106
4,6:03.0,Defensive rebound by J. Lamb,,92,106
4,5:51.0,D. Graham misses 3-pt jump shot from 25 ft,,92,106
4,5:47.0,,Defensive rebound by C. Paul,92,106
4,5:41.0,,C. Paul misses 3-pt jump shot from 27 ft,92,106
4,5:40.0,,Offensive rebound by C. Paul,92,106
4,5:36.0,,Personal foul by D. Bacon (drawn by J. Harden),92,106
4,5:29.0,,Turnover by C. Paul (bad pass),92,106
4,5:18.0,Charlotte full timeout,,92,106
4,5:18.0,F. Kaminsky enters the game for D. Bacon,,92,106
4,5:18.0,M. Monk enters the game for D. Graham,,92,106
4,5:03.0,M. Monk misses 3-pt jump shot from 38 ft,,92,106
4,5:01.0,,Defensive rebound by C. Paul,92,106
4,4:44.0,,Turnover by C. Capela (3 sec),92,106
4,4:33.0,Shooting foul by E. Gordon (drawn by F. Kaminsky),,92,106
4,4:33.0,F. Kaminsky makes free throw 1 of 2,,93,106
4,4:33.0,F. Kaminsky makes free throw 2 of 2,,94,106
4,4:20.0,,J. Harden makes 3-pt jump shot from 24 ft (assist by C. Capela),94,109
