QUARTER,TIME_REMAINING,NEW YORK_ACTION,BOSTON_ACTION,NEW YORK_SCORE,BOSTON_SCORE
3,3:21.0,,Defensive rebound by J. Brown,77,65
3,3:15.0,,J. Brown makes 2-pt layup from 2 ft,77,67
3,3:04.0,Shooting foul by M. Morris (drawn by T. Burke),,77,67
3,3:04.0,T. Burke makes free throw 1 of 2,,78,67
3,3:04.0,A. Trier enters the game for T. Hardaway,,78,67
3,3:04.0,,J. Tatum enters the game for M. Morris,78,67
3,3:04.0,T. Burke makes free throw 2 of 2,,79,67
3,2:54.0,,K. Irving misses 2-pt jump shot from 21 ft,79,67
3,2:53.0,Defensive rebound by K. Knox,,79,67
3,2:38.0,T. Burke misses 2-pt jump shot from 19 ft,,79,67
3,2:32.0,,Defensive rebound by M. Smart,79,67
3,2:27.0,,J. Brown makes 2-pt dunk from 3 ft (assist by K. Irving),79,69
3,2:19.0,Offensive foul by T. Burke (drawn by K. Irving),,79,69
3,2:19.0,Turnover by T. Burke (offensive foul),,79,69
3,2:19.0,M. Robinson enters the game for E. Freedom,,79,69
3,2:08.0,,K. Irving misses 2-pt jump shot from 11 ft,79,69
3,2:05.0,Defensive rebound by M. Robinson,,79,69
3,1:57.0,A. Trier misses 3-pt jump shot from 23 ft,,79,69
3,1:55.0,,Defensive rebound by J. Tatum,79,69
3,1:41.0,,A. Baynes misses 3-pt jump shot from 23 ft,79,69
3,1:39.0,Defensive rebound by T. Burke,,79,69
3,1:32.0,Personal foul by J. Brown (drawn by T. Burke),,79,69
3,1:32.0,,A. Horford enters the game for A. Baynes,79,69
3,1:32.0,,T. Rozier enters the game for K. Irving,79,69
3,1:19.0,A. Trier makes 2-pt layup from 3 ft (assist by T. Burke),,81,69
3,0:55.0,,T. Rozier misses 2-pt layup from 5 ft (block by M. Robinson),81,69
3,0:54.0,,Offensive rebound by M. Smart,81,69
3,0:53.0,,M. Smart misses 3-pt jump shot from 24 ft,81,69
3,0:52.0,Defensive rebound by Team,,81,69
3,0:39.0,Offensive foul by K. Knox (drawn by T. Rozier),,81,69
3,0:39.0,Turnover by K. Knox (offensive foul),,81,69
3,0:30.0,,T. Rozier misses 2-pt layup from 4 ft (block by M. Robinson),81,69
3,0:30.0,,Offensive rebound by Team,81,69
3,0:23.0,,T. Rozier misses 3-pt jump shot from 28 ft,81,69
3,0:20.0,Defensive rebound by K. Knox,,81,69
3,0:00.0,A. Trier makes 3-pt jump shot from 25 ft (assist by T. Burke),,84,69
4,11:45.0,,J. Tatum misses 2-pt layup from 5 ft (block by M. Robinson),84,69
4,11:44.0,,Offensive rebound by Team,84,69
4,11:40.0,,Turnover by M. Smart (lost ball; steal by T. Burke),84,69
4,11:24.0,F. Ntilikina misses 3-pt jump shot from 23 ft,,84,69
4,11:23.0,,Defensive rebound by T. Rozier,84,69
4,11:11.0,,Shooting foul by M. Robinson (drawn by J. Brown),84,69
4,11:11.0,,J. Brown misses free throw 1 of 2,84,69
4,11:11.0,,Offensive rebound by Team,84,69
4,11:11.0,,J. Brown makes free throw 2 of 2,84,70
4,10:56.0,K. Knox makes 3-pt jump shot from 23 ft (assist by A. Trier),,87,70
4,10:41.0,,J. Tatum misses 2-pt layup from 5 ft,87,70
4,10:41.0,Defensive rebound by M. Robinson,,87,70
4,10:41.0,Personal foul by J. Tatum (drawn by M. Robinson),,87,70
4,10:41.0,,G. Hayward enters the game for J. Brown,87,70
4,10:41.0,,K. Irving enters the game for J. Tatum,87,70
4,10:26.0,K. Knox makes 3-pt jump shot from 25 ft (assist by T. Burke),,90,70
4,10:08.0,,A. Horford misses 2-pt hook shot from 5 ft (block by M. Robinson),90,70
4,10:08.0,,Offensive rebound by A. Horford,90,70
4,10:08.0,,Shooting foul by F. Ntilikina (drawn by A. Horford),90,70
4,10:08.0,,A. Horford makes free throw 1 of 2,90,71
4,10:08.0,,A. Horford misses free throw 2 of 2,90,71
4,10:06.0,Defensive rebound by K. Knox,,90,71
4,9:52.0,F. Ntilikina makes 2-pt jump shot from 20 ft,,92,71
4,9:40.0,,G. Hayward makes 3-pt jump shot from 26 ft (assist by K. Irving),92,74
4,9:25.0,T. Burke misses 2-pt jump shot from 16 ft,,92,74
4,9:23.0,,Defensive rebound by G. Hayward,92,74
4,9:11.0,,A. Horford makes 3-pt jump shot from 27 ft (assist by M. Smart),92,77
4,8:51.0,Offensive foul by A. Trier (drawn by K. Irving),,92,77
4,8:51.0,Turnover by A. Trier (offensive foul),,92,77
4,8:51.0,T. Hardaway enters the game for A. Trier,,92,77
4,8:37.0,,K. Irving misses 3-pt jump shot from 26 ft,92,77
4,8:35.0,Defensive rebound by M. Robinson,,92,77
4,8:21.0,T. Hardaway makes 2-pt jump shot from 20 ft (assist by T. Burke),,94,77
4,8:00.0,,K. Irving makes 2-pt layup from 2 ft (assist by M. Smart),94,79
