QUARTER,TIME_REMAINING,BROOKLYN_ACTION,MIAMI_ACTION,BROOKLYN_SCORE,MIAMI_SCORE
3,2:15.0,,D. Jones misses 3-pt jump shot from 23 ft,58,79
3,2:12.0,Defensive rebound by D. Carroll,,58,79
3,2:06.0,D. Carroll makes 2-pt layup from 1 ft,,60,79
3,1:45.0,,D. Wade makes 3-pt jump shot from 24 ft (assist by B. Adebayo),60,82
3,1:37.0,S. Dinwiddie makes 2-pt layup from 2 ft,,62,82
3,1:25.0,,Turnover by D. Wade (bad pass; steal by S. Dinwiddie),62,82
3,1:21.0,S. Dinwiddie misses 2-pt layup from 1 ft (block by D. Jones),,62,82
3,1:21.0,Offensive rebound by Team,,62,82
3,1:21.0,,R. McGruder enters the game for D. Waiters,62,82
3,1:21.0,,J. Richardson enters the game for J. Winslow,62,82
3,1:13.0,S. Dinwiddie misses 3-pt jump shot from 23 ft (block by R. McGruder),,62,82
3,1:10.0,,Defensive rebound by J. Richardson,62,82
3,0:59.0,,R. McGruder makes 2-pt jump shot from 9 ft,62,84
3,0:38.0,S. Dinwiddie misses 3-pt jump shot from 24 ft,,62,84
3,0:35.0,Offensive rebound by D. Carroll,,62,84
3,0:33.0,D. Carroll misses 3-pt jump shot from 23 ft,,62,84
3,0:29.0,,Defensive rebound by J. Richardson,62,84
3,0:13.0,,D. Wade misses 2-pt jump shot from 13 ft,62,84
3,0:13.0,Defensive rebound by Team,,62,84
3,0:13.0,,U. Haslem enters the game for B. Adebayo,62,84
3,0:11.0,Personal foul by D. Jones (drawn by R. Kurucs),,62,84
3,0:04.0,Personal foul by U. Haslem (drawn by S. Dinwiddie),,62,84
3,0:04.0,S. Dinwiddie makes free throw 1 of 2,,63,84
3,0:04.0,S. Dinwiddie makes free throw 2 of 2,,64,84
3,0:01.0,,D. Jones misses 3-pt jump shot from 25 ft,64,84
3,0:00.0,,Offensive rebound by Team,64,84
4,11:37.0,J. Dudley misses 2-pt layup from 1 ft (block by K. Olynyk),,64,84
4,11:36.0,Offensive rebound by R. Hollis-Jefferson,,64,84
4,11:36.0,R. Hollis-Jefferson misses 2-pt jump shot from 11 ft,,64,84
4,11:36.0,Offensive rebound by Team,,64,84
4,11:36.0,Turnover by Team (shot clock),,64,84
4,11:25.0,,R. McGruder makes 3-pt jump shot from 25 ft (assist by D. Wade),64,87
4,11:12.0,Shooting foul by D. Jones (drawn by R. Hollis-Jefferson),,64,87
4,11:12.0,R. Hollis-Jefferson makes free throw 1 of 2,,65,87
4,11:12.0,R. Hollis-Jefferson makes free throw 2 of 2,,66,87
4,10:57.0,,D. Wade makes 2-pt jump shot from 5 ft (assist by J. Richardson),66,89
4,10:41.0,Turnover by D. Russell (out of bounds lost ball),,66,89
4,10:27.0,,R. McGruder makes 3-pt jump shot from 24 ft (assist by K. Olynyk),66,92
4,10:10.0,J. Harris makes 2-pt layup from 1 ft (assist by J. Dudley),,68,92
4,10:10.0,Shooting foul by J. Richardson (drawn by J. Harris),,68,92
4,10:10.0,J. Harris makes free throw 1 of 1,,69,92
4,9:55.0,,Turnover by D. Wade (bad pass; steal by R. Hollis-Jefferson),69,92
4,9:40.0,D. Russell misses 3-pt jump shot from 25 ft,,69,92
4,9:38.0,,Defensive rebound by D. Jones,69,92
4,9:35.0,,Shooting foul by J. Harris (drawn by K. Olynyk),69,92
4,9:35.0,Brooklyn full timeout,,69,92
4,9:35.0,A. Crabbe enters the game for D. Russell,,69,92
4,9:35.0,,K. Olynyk makes free throw 1 of 2,69,93
4,9:35.0,,K. Olynyk makes free throw 2 of 2,69,94
4,9:24.0,Turnover by J. Harris (out of bounds lost ball),,69,94
4,9:06.0,,D. Jones makes 2-pt layup from 3 ft (assist by J. Richardson),69,96
4,9:06.0,,Shooting foul by J. Dudley (drawn by D. Jones),69,96
4,9:06.0,,D. Jones makes free throw 1 of 1,69,97
4,8:54.0,R. Hollis-Jefferson makes 2-pt dunk from 2 ft (assist by C. LeVert),,71,97
4,8:42.0,,Turnover by K. Olynyk (bad pass; steal by R. Hollis-Jefferson),71,97
4,8:29.0,Turnover by J. Harris (bad pass; steal by K. Olynyk),,71,97
4,8:24.0,,Offensive foul by D. Wade (drawn by R. Hollis-Jefferson),71,97
4,8:24.0,,Turnover by D. Wade (offensive foul),71,97
4,8:24.0,S. Dinwiddie enters the game for J. Dudley,,71,97
4,8:24.0,R. Kurucs enters the game for J. Harris,,71,97
4,8:10.0,A. Crabbe misses 3-pt jump shot from 22 ft,,71,97
4,8:06.0,,Defensive rebound by J. Richardson,71,97
4,7:50.0,,D. Jones misses 2-pt layup from 2 ft,71,97
4,7:48.0,Defensive rebound by R. Kurucs,,71,97
4,7:40.0,R. Hollis-Jefferson misses 2-pt jump shot from 7 ft,,71,97
4,7:38.0,,Defensive rebound by R. McGruder,71,97
4,7:33.0,,Turnover by K. Olynyk (bad pass; steal by A. Crabbe),71,97
4,7:33.0,Technical foul by R. Hollis-Jefferson,,71,97
4,7:33.0,,J. Richardson makes technical free throw,71,98
4,7:20.0,R. Kurucs misses 3-pt jump shot from 25 ft,,71,98
4,7:15.0,Offensive rebound by C. LeVert,,71,98
4,7:15.0,C. LeVert makes 2-pt dunk from 1 ft,,73,98
4,6:56.0,,J. Richardson misses 3-pt jump shot from 26 ft,73,98
4,6:54.0,Defensive rebound by S. Dinwiddie,,73,98
4,6:54.0,Turnover by S. Dinwiddie (bad pass; steal by R. McGruder),,73,98
4,6:53.0,,Miami full timeout,73,98
4,6:34.0,,D. Wade makes 2-pt jump shot from 16 ft (assist by K. Olynyk),73,100
4,6:25.0,R. Kurucs misses 3-pt jump shot from 25 ft,,73,100
4,6:23.0,,Defensive rebound by R. McGruder,73,100
4,6:15.0,,D. Wade makes 2-pt layup from 1 ft,73,102
4,6:05.0,A. Crabbe makes 3-pt jump shot from 23 ft (assist by C. LeVert),,76,102
4,5:47.0,,R. McGruder misses 2-pt jump shot from 8 ft,76,102
4,5:46.0,,Offensive rebound by R. McGruder,76,102
4,5:46.0,,Shooting foul by A. Crabbe (drawn by R. McGruder),76,102
4,5:46.0,,R. McGruder misses free throw 1 of 2,76,102
4,5:46.0,,Offensive rebound by Team,76,102
4,5:46.0,,D. Robinson enters the game for D. Wade,76,102
4,5:46.0,,R. McGruder makes free throw 2 of 2,76,103
4,5:24.0,Shooting foul by K. Olynyk (drawn by R. Hollis-Jefferson),,76,103
4,5:24.0,R. Hollis-Jefferson makes free throw 1 of 2,,77,103
4,5:24.0,R. Hollis-Jefferson misses free throw 2 of 2,,77,103
