QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,NEW ORLEANS_ACTION,SAN ANTONIO_SCORE,NEW ORLEANS_SCORE
3,0:30.0,D. Cunningham makes free throw 2 of 2,,96,83
3,0:05.0,,J. Holiday makes 2-pt jump shot from 5 ft,96,85
3,0:00.0,B. Forbes misses 2-pt jump shot from 16 ft,,96,85
3,0:00.0,Offensive rebound by Team,,96,85
4,11:42.0,M. Belinelli makes 3-pt jump shot from 25 ft (assist by P. Mills),,99,85
4,11:42.0,Shooting foul by D. Miller (drawn by M. Belinelli),,99,85
4,11:42.0,R. Gay enters the game for D. Cunningham,,99,85
4,11:42.0,M. Belinelli makes free throw 1 of 1,,100,85
4,11:30.0,,D. Miller makes 2-pt jump shot from 16 ft (assist by E. Payton),100,87
4,11:17.0,R. Gay makes 3-pt jump shot from 25 ft (assist by P. Mills),,103,87
4,10:58.0,,D. Miller misses 2-pt jump shot from 14 ft,103,87
4,10:55.0,Defensive rebound by P. Mills,,103,87
4,10:42.0,P. Gasol makes 2-pt hook shot from 7 ft (assist by R. Gay),,105,87
4,10:35.0,,New Orleans full timeout,105,87
4,10:35.0,D. White enters the game for P. Mills,,105,87
4,10:35.0,,J. Holiday enters the game for D. Miller,105,87
4,10:31.0,,J. Holiday makes 2-pt jump shot from 14 ft,105,89
4,10:16.0,D. White misses 3-pt jump shot from 25 ft,,105,89
4,10:16.0,,Defensive rebound by F. Jackson,105,89
4,10:07.0,,F. Jackson makes 3-pt jump shot from 26 ft,105,92
4,9:53.0,P. Gasol makes 2-pt layup from 3 ft (assist by M. Belinelli),,107,92
4,9:36.0,,F. Jackson misses 2-pt jump shot from 7 ft,107,92
4,9:36.0,Defensive rebound by R. Gay,,107,92
4,9:22.0,M. Belinelli misses 2-pt layup from 2 ft,,107,92
4,9:20.0,,Defensive rebound by J. Okafor,107,92
4,9:16.0,,S. Hill misses 3-pt jump shot from 24 ft,107,92
4,9:12.0,Defensive rebound by R. Gay,,107,92
4,9:10.0,Shooting foul by J. Okafor (drawn by R. Gay),,107,92
4,9:10.0,R. Gay makes free throw 1 of 2,,108,92
4,9:10.0,Violation by Team (delay of game),,108,92
4,9:10.0,R. Gay makes free throw 2 of 2,,109,92
4,8:55.0,,E. Payton misses 2-pt jump shot from 5 ft,109,92
4,8:50.0,,Offensive rebound by S. Hill,109,92
4,8:50.0,,S. Hill makes 2-pt layup from 1 ft,109,94
4,8:42.0,B. Forbes makes 2-pt layup from 2 ft,,111,94
4,8:36.0,,Turnover by S. Hill (bad pass; steal by R. Gay),111,94
4,8:30.0,B. Forbes misses 2-pt layup from 3 ft,,111,94
4,8:28.0,,Defensive rebound by J. Okafor,111,94
4,8:24.0,,E. Payton misses 2-pt jump shot from 2 ft,111,94
4,8:18.0,Defensive rebound by R. Gay,,111,94
4,8:17.0,San Antonio full timeout,,111,94
4,8:17.0,L. Walker enters the game for B. Forbes,,111,94
4,8:17.0,,T. Frazier enters the game for E. Payton,111,94
4,8:13.0,M. Belinelli misses 2-pt jump shot from 15 ft,,111,94
4,8:09.0,,Defensive rebound by J. Holiday,111,94
4,8:04.0,,F. Jackson misses 3-pt jump shot from 25 ft,111,94
4,8:01.0,Defensive rebound by L. Walker,,111,94
