QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,OKLAHOMA CITY_ACTION,NEW ORLEANS_SCORE,OKLAHOMA CITY_SCORE
3,3:42.0,A. Davis makes 2-pt dunk at rim (assist by J. Holiday),,79,84
3,3:29.0,,Personal foul by J. Holiday (drawn by P. George),79,84
3,3:20.0,,J. Grant misses 3-pt jump shot from 22 ft,79,84
3,3:17.0,Defensive rebound by J. Holiday,,79,84
3,3:12.0,J. Holiday makes 3-pt jump shot from 25 ft,,82,84
3,2:59.0,,D. Schröder misses 2-pt layup from 2 ft,82,84
3,2:58.0,,Offensive rebound by P. George,82,84
3,2:55.0,,Turnover by P. George (lost ball; steal by I. Clark),82,84
3,2:45.0,Personal foul by T. Ferguson (drawn by J. Randle),,82,84
3,2:45.0,T. Frazier enters the game for J. Holiday,,82,84
3,2:45.0,,Á. Abrines enters the game for T. Ferguson,82,84
3,2:45.0,,H. Diallo enters the game for P. George,82,84
3,2:45.0,,P. Patterson enters the game for J. Grant,82,84
3,2:39.0,A. Davis misses 2-pt jump shot from 19 ft,,82,84
3,2:37.0,,Defensive rebound by D. Schröder,82,84
3,2:30.0,,P. Patterson makes 3-pt jump shot from 26 ft (assist by Á. Abrines),82,87
3,2:09.0,J. Randle makes 2-pt hook shot from 6 ft,,84,87
3,1:51.0,,Á. Abrines makes 2-pt jump shot from 3 ft (assist by P. Patterson),84,89
3,1:42.0,Offensive foul by D. Miller (drawn by H. Diallo),,84,89
3,1:42.0,Turnover by D. Miller (offensive foul),,84,89
3,1:25.0,,D. Schröder makes 2-pt jump shot from 12 ft,84,91
3,1:12.0,Turnover by I. Clark (lost ball; steal by H. Diallo),,84,91
3,1:09.0,,H. Diallo makes 2-pt dunk from 1 ft,84,93
3,1:07.0,,Violation by Team (delay of game),84,93
3,0:56.0,Turnover by A. Davis (lost ball; steal by H. Diallo),,84,93
3,0:54.0,,H. Diallo makes 2-pt dunk from 1 ft,84,95
3,0:54.0,,Shooting foul by I. Clark (drawn by H. Diallo),84,95
3,0:54.0,,H. Diallo misses free throw 1 of 1,84,95
3,0:54.0,,Offensive rebound by Team,84,95
3,0:54.0,,Personal foul by D. Miller (drawn by S. Adams),84,95
3,0:54.0,,S. Adams misses free throw 1 of 2,84,95
3,0:54.0,,Offensive rebound by Team,84,95
3,0:54.0,,S. Adams misses free throw 2 of 2,84,95
3,0:53.0,Defensive rebound by A. Davis,,84,95
3,0:42.0,Turnover by A. Davis (traveling),,84,95
3,0:35.0,,D. Schröder makes 2-pt layup from 1 ft,84,97
3,0:35.0,,Shooting foul by T. Frazier (drawn by D. Schröder),84,97
3,0:35.0,,D. Schröder makes free throw 1 of 1,84,98
3,0:25.0,Personal foul by H. Diallo (drawn by J. Randle),,84,98
3,0:25.0,J. Randle makes free throw 1 of 2,,85,98
3,0:25.0,J. Randle makes free throw 2 of 2,,86,98
3,0:06.0,,S. Adams makes 2-pt layup from 1 ft (assist by D. Schröder),86,100
3,0:00.0,T. Frazier misses 2-pt jump shot from 13 ft (block by S. Adams),,86,100
3,0:00.0,Offensive rebound by Team,,86,100
4,11:41.0,J. Holiday misses 3-pt jump shot from 25 ft,,86,100
4,11:38.0,,Defensive rebound by D. Schröder,86,100
4,11:22.0,,Turnover by D. Schröder (bad pass; steal by C. Diallo),86,100
4,11:14.0,J. Holiday makes 2-pt layup from 1 ft,,88,100
4,11:06.0,,D. Schröder misses 2-pt jump shot from 12 ft,88,100
4,11:05.0,,Offensive rebound by N. Noel,88,100
4,11:05.0,,N. Noel misses 2-pt layup from 2 ft,88,100
4,11:05.0,Defensive rebound by Team,,88,100
4,10:39.0,N. Mirotić makes 2-pt hook shot from 6 ft,,90,100
4,10:17.0,,H. Diallo misses 3-pt jump shot from 26 ft,90,100
4,10:14.0,,Offensive rebound by N. Noel,90,100
4,10:13.0,,Á. Abrines misses 3-pt jump shot from 28 ft,90,100
4,10:10.0,Defensive rebound by J. Randle,,90,100
4,9:49.0,Turnover by J. Holiday (bad pass; steal by N. Noel),,90,100
4,9:47.0,,Personal foul by J. Holiday (drawn by H. Diallo),90,100
4,9:39.0,,D. Schröder misses 3-pt jump shot from 26 ft,90,100
4,9:35.0,Defensive rebound by N. Mirotić,,90,100
4,9:29.0,J. Randle makes 2-pt jump shot from 6 ft,,92,100
4,9:15.0,,Shooting foul by N. Mirotić (drawn by Á. Abrines),92,100
4,9:15.0,,Á. Abrines makes free throw 1 of 2,92,101
4,9:15.0,,P. George enters the game for H. Diallo,92,101
4,9:15.0,,Á. Abrines makes free throw 2 of 2,92,102
4,9:09.0,Shooting foul by P. Patterson (drawn by J. Randle),,92,102
4,9:09.0,J. Randle makes free throw 1 of 2,,93,102
4,9:09.0,,R. Felton enters the game for D. Schröder,93,102
4,9:09.0,J. Randle makes free throw 2 of 2,,94,102
4,8:56.0,,P. George makes 3-pt jump shot from 25 ft (assist by N. Noel),94,105
4,8:32.0,I. Clark makes 2-pt jump shot from 7 ft (assist by J. Holiday),,96,105
4,8:17.0,,R. Felton makes 2-pt jump shot from 21 ft,96,107
4,8:05.0,C. Diallo makes 2-pt layup from 2 ft (assist by J. Holiday),,98,107
4,7:51.0,,N. Noel misses 2-pt jump shot from 3 ft (block by J. Randle),98,107
4,7:48.0,Defensive rebound by C. Diallo,,98,107
4,7:42.0,I. Clark misses 3-pt jump shot from 23 ft,,98,107
4,7:36.0,,Defensive rebound by N. Noel,98,107
4,7:30.0,,Shooting foul by J. Holiday (drawn by P. Patterson),98,107
4,7:30.0,,P. Patterson misses free throw 1 of 2,98,107
4,7:30.0,,Offensive rebound by Team,98,107
4,7:30.0,A. Davis enters the game for C. Diallo,,98,107
4,7:30.0,,P. Patterson makes free throw 2 of 2,98,108
4,7:19.0,J. Randle makes 2-pt dunk from 1 ft (assist by J. Holiday),,100,108
4,7:02.0,,R. Felton misses 3-pt jump shot from 26 ft,100,108
4,6:59.0,Defensive rebound by N. Mirotić,,100,108
4,6:49.0,Turnover by J. Holiday (lost ball; steal by R. Felton),,100,108
4,6:33.0,,R. Felton misses 2-pt jump shot from 17 ft,100,108
4,6:30.0,Defensive rebound by N. Mirotić,,100,108
4,6:26.0,Shooting foul by R. Felton (drawn by N. Mirotić),,100,108
4,6:26.0,,Oklahoma City full timeout,100,108
4,6:26.0,,S. Adams enters the game for N. Noel,100,108
4,6:26.0,,J. Grant enters the game for P. Patterson,100,108
4,6:26.0,N. Mirotić makes free throw 1 of 2,,101,108
4,6:26.0,N. Mirotić makes free throw 2 of 2,,102,108
4,6:11.0,,P. George misses 2-pt layup from 1 ft,102,108
4,6:11.0,,Offensive rebound by Team,102,108
4,6:11.0,Loose ball foul by J. Randle (drawn by S. Adams),,102,108
4,6:11.0,,D. Schröder enters the game for R. Felton,102,108
4,6:03.0,,J. Grant misses 2-pt jump shot from 6 ft,102,108
4,6:00.0,Defensive rebound by A. Davis,,102,108
4,5:53.0,Personal foul by J. Grant (drawn by J. Randle),,102,108
