QUARTER,TIME_REMAINING,DETROIT_ACTION,MEMPHIS_ACTION,DETROIT_SCORE,MEMPHIS_SCORE
3,5:30.0,B. Griffin makes 2-pt layup from 1 ft (assist by R. Jackson),,62,59
3,5:17.0,,G. Temple misses 2-pt layup at rim,62,59
3,5:12.0,,Offensive rebound by J. Jackson,62,59
3,5:12.0,,J. Jackson makes 2-pt dunk from 1 ft,62,61
3,4:50.0,L. Kennard misses 3-pt jump shot from 25 ft,,62,61
3,4:46.0,,Defensive rebound by M. Gasol,62,61
3,4:36.0,,Shooting foul by R. Bullock (drawn by J. Jackson),62,61
3,4:36.0,,J. Jackson makes free throw 1 of 2,62,62
3,4:36.0,,D. Brooks enters the game for G. Temple,62,62
3,4:36.0,,J. Jackson makes free throw 2 of 2,62,63
3,4:36.0,Detroit full timeout,,62,63
3,4:26.0,Personal foul by K. Anderson (drawn by L. Kennard),,62,63
3,4:19.0,R. Jackson makes 3-pt jump shot from 27 ft (assist by L. Kennard),,65,63
3,3:57.0,,M. Gasol misses 2-pt jump shot from 15 ft,65,63
3,3:55.0,Defensive rebound by B. Griffin,,65,63
3,3:45.0,B. Griffin misses 2-pt hook shot from 4 ft,,65,63
3,3:42.0,,Defensive rebound by M. Gasol,65,63
3,3:38.0,,Shooting foul by R. Bullock (drawn by J. Jackson),65,63
3,3:38.0,,J. Jackson makes free throw 1 of 2,65,64
3,3:38.0,L. Galloway enters the game for R. Bullock,,65,64
3,3:38.0,,J. Jackson makes free throw 2 of 2,65,65
3,3:23.0,L. Kennard makes 2-pt jump shot from 16 ft,,67,65
3,3:02.0,,D. Brooks misses 2-pt jump shot from 18 ft,67,65
3,2:59.0,Defensive rebound by R. Jackson,,67,65
3,2:53.0,A. Drummond misses 2-pt layup from 2 ft,,67,65
3,2:50.0,Offensive rebound by A. Drummond,,67,65
3,2:50.0,A. Drummond misses 2-pt layup at rim,,67,65
3,2:49.0,,Defensive rebound by S. Mack,67,65
3,2:31.0,,S. Mack misses 3-pt jump shot from 27 ft,67,65
3,2:28.0,,Offensive rebound by S. Mack,67,65
3,2:17.0,,S. Mack misses 2-pt jump shot from 12 ft (block by A. Drummond),67,65
3,2:15.0,,Offensive rebound by J. Jackson,67,65
3,2:15.0,,Turnover by Team (shot clock),67,65
3,2:15.0,J. Calderón enters the game for R. Jackson,,67,65
3,2:15.0,,M. Conley enters the game for K. Anderson,67,65
3,2:15.0,,J. Green enters the game for J. Jackson,67,65
3,2:15.0,,G. Temple enters the game for S. Mack,67,65
3,1:53.0,B. Griffin makes 2-pt layup from 2 ft,,69,65
3,1:41.0,,M. Conley misses 2-pt layup from 3 ft,69,65
3,1:38.0,Defensive rebound by A. Drummond,,69,65
3,1:26.0,L. Galloway makes 3-pt jump shot from 23 ft (assist by B. Griffin),,72,65
3,1:24.0,,Memphis full timeout,72,65
3,1:24.0,J. Leuer enters the game for B. Griffin,,72,65
3,1:07.0,,D. Brooks makes 2-pt layup from 1 ft (assist by M. Gasol),72,67
3,0:41.0,L. Kennard misses 3-pt jump shot from 24 ft,,72,67
3,0:39.0,,Defensive rebound by M. Gasol,72,67
3,0:32.0,,G. Temple misses 3-pt jump shot from 26 ft,72,67
3,0:28.0,Defensive rebound by A. Drummond,,72,67
3,0:19.0,L. Galloway misses 3-pt jump shot from 24 ft,,72,67
3,0:16.0,,Defensive rebound by M. Conley,72,67
3,0:03.0,,Turnover by M. Conley (lost ball; steal by A. Drummond),72,67
3,0:00.0,L. Kennard misses 2-pt jump shot from 16 ft,,72,67
3,0:00.0,Offensive rebound by Team,,72,67
4,11:46.0,,M. Conley misses 2-pt jump shot from 4 ft,72,67
4,11:44.0,Defensive rebound by J. Leuer,,72,67
4,11:33.0,Personal foul by J. Green (drawn by B. Griffin),,72,67
4,11:24.0,Turnover by J. Calderón (out of bounds lost ball),,72,67
4,11:11.0,,M. Conley misses 2-pt layup from 2 ft,72,67
4,11:08.0,Defensive rebound by B. Griffin,,72,67
4,10:55.0,L. Kennard makes 2-pt jump shot from 16 ft,,74,67
4,10:36.0,,J. Green makes 2-pt hook shot from 8 ft,74,69
4,10:16.0,L. Galloway makes 2-pt layup from 1 ft (assist by B. Griffin),,76,69
4,9:57.0,,J. Green misses 3-pt jump shot from 26 ft,76,69
4,9:54.0,Defensive rebound by J. Leuer,,76,69
4,9:36.0,B. Griffin misses 2-pt jump shot from 10 ft,,76,69
4,9:32.0,,Defensive rebound by D. Brooks,76,69
4,9:23.0,,D. Brooks makes 2-pt layup from 1 ft (assist by J. Green),76,71
4,9:01.0,B. Griffin makes 2-pt layup from 2 ft,,78,71
4,8:50.0,,Personal foul by L. Galloway (drawn by M. Conley),78,71
4,8:50.0,,J. Jackson enters the game for M. Conley,78,71
4,8:45.0,,D. Brooks misses 3-pt jump shot from 26 ft,78,71
4,8:42.0,Defensive rebound by J. Leuer,,78,71
4,8:35.0,B. Griffin misses 3-pt jump shot from 25 ft,,78,71
4,8:32.0,,Defensive rebound by D. Brooks,78,71
4,8:23.0,,J. Jackson makes 2-pt layup from 1 ft (assist by D. Brooks),78,73
4,8:23.0,,Shooting foul by J. Leuer (drawn by J. Jackson),78,73
4,8:23.0,A. Drummond enters the game for B. Griffin,,78,73
4,8:23.0,,J. Jackson makes free throw 1 of 1,78,74
4,8:05.0,Personal foul by D. Brooks (drawn by L. Kennard),,78,74
4,7:57.0,Shooting foul by J. Green (drawn by A. Drummond),,78,74
4,7:57.0,A. Drummond makes free throw 1 of 2,,79,74
4,7:57.0,A. Drummond makes free throw 2 of 2,,80,74
