QUARTER,TIME_REMAINING,CHICAGO_ACTION,MEMPHIS_ACTION,CHICAGO_SCORE,MEMPHIS_SCORE
4,8:33.0,,Defensive rebound by J. Noah,81,76
4,8:21.0,,C. Miles misses 2-pt jump shot from 21 ft,81,76
4,8:20.0,,Offensive rebound by A. Bradley,81,76
4,8:17.0,,J. Noah makes 2-pt layup from 1 ft (assist by A. Bradley),81,78
4,7:59.0,Shooting foul by J. Noah (drawn by S. Harrison),,81,78
4,7:59.0,S. Harrison makes free throw 1 of 2,,82,78
4,7:59.0,L. Markkanen enters the game for T. Luwawu-Cabarrot,,82,78
4,7:59.0,O. Porter enters the game for W. Selden,,82,78
4,7:59.0,,J. Valančiūnas enters the game for J. Noah,82,78
4,7:59.0,S. Harrison makes free throw 2 of 2,,83,78
4,7:47.0,,M. Conley makes 2-pt jump shot from 10 ft (assist by J. Valančiūnas),83,80
4,7:33.0,Offensive foul by R. Lopez (drawn by M. Conley),,83,80
4,7:33.0,Turnover by R. Lopez (offensive foul),,83,80
4,7:33.0,Z. LaVine enters the game for S. Harrison,,83,80
4,7:23.0,,Turnover by M. Conley (step out of bounds),83,80
4,7:06.0,Z. LaVine makes 3-pt jump shot from 26 ft,,86,80
4,6:52.0,,C. Miles makes 2-pt layup from 1 ft (assist by J. Valančiūnas),86,82
4,6:35.0,O. Porter misses 3-pt jump shot from 26 ft,,86,82
4,6:32.0,,Defensive rebound by C. Parsons,86,82
4,6:25.0,,M. Conley makes 3-pt jump shot from 25 ft (assist by C. Parsons),86,85
4,6:05.0,Z. LaVine makes 3-pt jump shot from 22 ft (assist by L. Markkanen),,89,85
4,5:52.0,,Turnover by M. Conley (bad pass; steal by O. Porter),89,85
4,5:47.0,Z. LaVine makes 2-pt dunk at rim (assist by O. Porter),,91,85
4,5:46.0,,Memphis full timeout,91,85
4,5:46.0,,J. Holiday enters the game for C. Parsons,91,85
4,5:33.0,,A. Bradley misses 3-pt jump shot from 25 ft,91,85
4,5:30.0,Defensive rebound by O. Porter,,91,85
4,5:16.0,L. Markkanen makes 2-pt layup from 1 ft (assist by O. Porter),,93,85
4,5:04.0,,M. Conley makes 3-pt jump shot from 25 ft,93,88
4,4:51.0,L. Markkanen makes 2-pt layup from 1 ft,,95,88
4,4:36.0,,J. Valančiūnas makes 2-pt layup from 2 ft (assist by A. Bradley),95,90
4,4:18.0,Z. LaVine makes 2-pt jump shot from 13 ft,,97,90
4,3:59.0,,J. Valančiūnas makes 2-pt hook shot from 6 ft (assist by M. Conley),97,92
4,3:41.0,L. Markkanen misses 2-pt jump shot from 18 ft,,97,92
4,3:37.0,,Defensive rebound by J. Valančiūnas,97,92
