QUARTER,TIME_REMAINING,WASHINGTON_ACTION,CLEVELAND_ACTION,WASHINGTON_SCORE,CLEVELAND_SCORE
4,3:07.0,,L. Nance misses 2-pt jump shot from 24 ft,94,110
4,3:04.0,Defensive rebound by T. Satoranský,,94,110
4,2:54.0,I. Mahinmi misses 3-pt jump shot from 26 ft,,94,110
4,2:52.0,,Defensive rebound by A. Burks,94,110
4,2:36.0,,L. Nance makes 2-pt dunk from 2 ft (assist by C. Sexton),94,112
4,2:21.0,A. Rivers makes 3-pt jump shot from 23 ft (assist by T. Satoranský),,97,112
4,2:10.0,,Offensive foul by C. Sexton (drawn by A. Rivers),97,112
4,2:10.0,,Turnover by C. Sexton (offensive foul),97,112
4,2:06.0,J. Green misses 3-pt jump shot from 26 ft,,97,112
4,2:02.0,,Defensive rebound by T. Thompson,97,112
4,1:41.0,,Shooting foul by J. Green (drawn by L. Nance),97,112
4,1:41.0,,L. Nance misses free throw 1 of 2,97,112
4,1:41.0,,Offensive rebound by Team,97,112
4,1:41.0,,L. Nance makes free throw 2 of 2,97,113
4,1:28.0,A. Rivers misses 3-pt jump shot from 25 ft,,97,113
4,1:25.0,,Defensive rebound by A. Burks,97,113
4,1:03.0,,A. Burks makes 3-pt jump shot from 26 ft,97,116
4,0:48.0,K. Oubre makes 2-pt jump shot from 5 ft,,99,116
4,0:23.0,,L. Nance misses 3-pt jump shot from 23 ft,99,116
4,0:19.0,Defensive rebound by I. Mahinmi,,99,116
4,0:18.0,Shooting foul by L. Nance (drawn by K. Oubre),,99,116
4,0:18.0,K. Oubre makes free throw 1 of 2,,100,116
4,0:18.0,K. Oubre makes free throw 2 of 2,,101,116
