QUARTER,TIME_REMAINING,DETROIT_ACTION,DENVER_ACTION,DETROIT_SCORE,DENVER_SCORE
3,5:03.0,L. Galloway enters the game for B. Brown,,53,73
3,4:51.0,L. Galloway misses 3-pt jump shot from 25 ft,,53,73
3,4:47.0,,Defensive rebound by M. Plumlee,53,73
3,4:41.0,,W. Barton misses 3-pt jump shot from 25 ft,53,73
3,4:38.0,Defensive rebound by L. Kennard,,53,73
3,4:28.0,I. Smith misses 2-pt layup from 5 ft,,53,73
3,4:26.0,,Defensive rebound by M. Plumlee,53,73
3,4:05.0,,Turnover by M. Plumlee (bad pass),53,73
3,3:51.0,B. Griffin makes 2-pt layup from 3 ft (assist by L. Galloway),,55,73
3,3:32.0,,M. Plumlee misses 2-pt hook shot from 7 ft,55,73
3,3:30.0,Defensive rebound by B. Griffin,,55,73
3,3:23.0,B. Griffin misses 3-pt jump shot from 23 ft,,55,73
3,3:20.0,,Defensive rebound by N. Jokić,55,73
3,3:15.0,,G. Harris misses 3-pt jump shot from 27 ft,55,73
3,3:12.0,,Offensive rebound by M. Morris,55,73
3,3:11.0,,M. Morris misses 2-pt jump shot from 15 ft,55,73
3,3:08.0,Defensive rebound by L. Galloway,,55,73
3,3:07.0,B. Griffin makes 2-pt layup from 2 ft (assist by L. Galloway),,57,73
3,3:06.0,,Denver full timeout,57,73
3,3:06.0,J. Leuer enters the game for B. Griffin,,57,73
3,3:06.0,,T. Craig enters the game for G. Harris,57,73
3,3:06.0,,P. Millsap enters the game for N. Jokić,57,73
3,2:54.0,,W. Barton misses 2-pt jump shot from 6 ft,57,73
3,2:51.0,Defensive rebound by I. Smith,,57,73
3,2:38.0,L. Kennard misses 3-pt jump shot from 25 ft,,57,73
3,2:35.0,,Defensive rebound by P. Millsap,57,73
3,2:21.0,,M. Morris makes 2-pt jump shot from 20 ft (assist by P. Millsap),57,75
3,1:53.0,L. Kennard makes 3-pt jump shot from 25 ft,,60,75
3,1:28.0,,M. Plumlee misses 2-pt hook shot from 3 ft,60,75
3,1:25.0,Defensive rebound by L. Kennard,,60,75
3,1:23.0,Turnover by L. Kennard (bad pass; steal by P. Millsap),,60,75
3,1:12.0,,W. Barton makes 2-pt jump shot from 5 ft (assist by M. Morris),60,77
3,1:12.0,,Shooting foul by L. Galloway (drawn by W. Barton),60,77
3,1:12.0,,W. Barton misses free throw 1 of 1,60,77
3,1:10.0,Defensive rebound by T. Maker,,60,77
3,0:55.0,L. Galloway misses 3-pt jump shot from 23 ft,,60,77
3,0:52.0,,Defensive rebound by Team,60,77
3,0:52.0,,J. Murray enters the game for W. Barton,60,77
3,0:35.0,,Shooting foul by J. Leuer (drawn by P. Millsap),60,77
3,0:35.0,,Offensive rebound by Team,60,77
3,0:35.0,,P. Millsap misses free throw 1 of 2,60,77
3,0:35.0,,P. Millsap makes free throw 2 of 2,60,78
3,0:16.0,I. Smith makes 2-pt jump shot from 16 ft,,62,78
3,0:01.0,,J. Murray makes 3-pt jump shot from 25 ft,62,81
3,0:00.0,I. Smith misses 3-pt jump shot from 51 ft,,62,81
3,0:00.0,Offensive rebound by Team,,62,81
4,11:46.0,I. Smith misses 2-pt jump shot from 11 ft,,62,81
4,11:45.0,Offensive rebound by A. Drummond,,62,81
4,11:44.0,Shooting foul by T. Craig (drawn by A. Drummond),,62,81
4,11:44.0,A. Drummond makes free throw 1 of 2,,63,81
4,11:44.0,A. Drummond misses free throw 2 of 2,,63,81
4,11:41.0,,Defensive rebound by M. Plumlee,63,81
4,11:26.0,,J. Murray misses 2-pt jump shot from 14 ft,63,81
4,11:23.0,Defensive rebound by L. Kennard,,63,81
4,11:15.0,I. Smith misses 3-pt jump shot from 23 ft,,63,81
4,11:11.0,,Defensive rebound by P. Millsap,63,81
4,11:06.0,,Personal foul by I. Smith (drawn by M. Morris),63,81
4,10:58.0,,T. Craig misses 3-pt jump shot from 25 ft,63,81
4,10:56.0,Defensive rebound by I. Smith,,63,81
4,10:42.0,Personal foul by T. Craig (drawn by B. Griffin),,63,81
4,10:28.0,I. Smith makes 3-pt jump shot from 26 ft (assist by B. Griffin),,66,81
4,10:04.0,,M. Morris misses 2-pt jump shot from 15 ft,66,81
4,10:01.0,Defensive rebound by A. Drummond,,66,81
4,9:54.0,A. Drummond misses 2-pt layup from 2 ft,,66,81
4,9:50.0,,Defensive rebound by M. Plumlee,66,81
4,9:49.0,,J. Murray misses 3-pt jump shot from 26 ft,66,81
4,9:47.0,,Offensive rebound by Team,66,81
4,9:47.0,,Personal foul by I. Smith (drawn by T. Craig),66,81
4,9:47.0,,G. Harris enters the game for T. Craig,66,81
4,9:32.0,,M. Plumlee makes 2-pt layup from 2 ft,66,83
4,9:14.0,B. Griffin misses 2-pt layup from 4 ft (block by P. Millsap),,66,83
4,9:13.0,Offensive rebound by I. Smith,,66,83
4,9:13.0,I. Smith misses 2-pt jump shot from 15 ft,,66,83
4,9:11.0,Offensive rebound by A. Drummond,,66,83
4,9:09.0,,Defensive rebound by P. Millsap,66,83
4,9:09.0,A. Drummond misses 2-pt dunk from 1 ft,,66,83
4,8:55.0,,P. Millsap misses 2-pt layup from 5 ft,66,83
4,8:52.0,,Offensive rebound by M. Plumlee,66,83
4,8:43.0,,M. Plumlee makes 2-pt jump shot from 12 ft (assist by J. Murray),66,85
4,8:41.0,Detroit full timeout,,66,85
4,8:41.0,W. Ellington enters the game for L. Galloway,,66,85
4,8:41.0,R. Jackson enters the game for I. Smith,,66,85
4,8:34.0,Offensive foul by B. Griffin (drawn by M. Plumlee),,66,85
4,8:34.0,Turnover by B. Griffin (offensive foul),,66,85
