QUARTER,TIME_REMAINING,MIAMI_ACTION,OKLAHOMA CITY_ACTION,MIAMI_SCORE,OKLAHOMA CITY_SCORE
3,4:04.0,K. Olynyk misses 3-pt jump shot from 23 ft,,77,64
3,4:02.0,,Defensive rebound by J. Grant,77,64
3,3:55.0,,A. Nader misses 3-pt jump shot from 25 ft,77,64
3,3:51.0,Defensive rebound by D. Waiters,,77,64
3,3:37.0,B. Adebayo makes 2-pt hook shot from 3 ft,,79,64
3,3:24.0,,J. Grant makes 2-pt jump shot from 17 ft (assist by P. George),79,66
3,3:08.0,Miami full timeout,,79,66
3,3:08.0,G. Dragić enters the game for B. Adebayo,,79,66
3,3:08.0,J. Johnson enters the game for J. Richardson,,79,66
3,3:08.0,,T. Ferguson enters the game for P. George,79,66
3,3:02.0,D. Wade misses 3-pt jump shot from 25 ft,,79,66
3,2:59.0,,Defensive rebound by Team,79,66
3,2:46.0,,J. Grant makes 2-pt layup from 2 ft (assist by D. Schröder),79,68
3,2:46.0,,Shooting foul by J. Johnson (drawn by J. Grant),79,68
3,2:46.0,,J. Grant makes free throw 1 of 1,79,69
3,2:34.0,D. Waiters misses 3-pt jump shot from 22 ft,,79,69
3,2:30.0,,Defensive rebound by T. Ferguson,79,69
3,2:21.0,,Turnover by D. Schröder (bad pass; steal by J. Johnson),79,69
3,2:18.0,D. Wade makes 2-pt layup from 1 ft (assist by G. Dragić),,81,69
3,1:57.0,,M. Morris misses 2-pt layup from 5 ft (block by D. Wade),81,69
3,1:49.0,Defensive rebound by J. Johnson,,81,69
3,1:48.0,D. Waiters makes 2-pt layup from 1 ft (assist by D. Wade),,83,69
3,1:40.0,,Personal foul by D. Wade (drawn by A. Nader),83,69
3,1:40.0,,Technical foul by M. Morris,83,69
3,1:40.0,G. Dragić makes technical free throw,,84,69
3,1:40.0,,R. Felton enters the game for D. Schröder,84,69
3,1:40.0,,A. Nader makes free throw 1 of 2,84,70
3,1:40.0,,A. Nader makes free throw 2 of 2,84,71
3,1:30.0,G. Dragić makes 2-pt jump shot from 11 ft,,86,71
3,1:07.0,,J. Grant misses 2-pt jump shot from 16 ft,86,71
3,1:05.0,Defensive rebound by D. Waiters,,86,71
3,0:56.0,G. Dragić misses 3-pt jump shot from 25 ft,,86,71
3,0:54.0,,Defensive rebound by R. Felton,86,71
3,0:50.0,,A. Nader makes 2-pt layup from 1 ft,86,73
3,0:50.0,,Shooting foul by G. Dragić (drawn by A. Nader),86,73
3,0:50.0,,P. Patterson enters the game for M. Morris,86,73
3,0:50.0,,A. Nader misses free throw 1 of 1,86,73
3,0:47.0,Defensive rebound by K. Olynyk,,86,73
3,0:34.0,Miami full timeout,,86,73
3,0:30.0,D. Wade misses 3-pt jump shot from 24 ft,,86,73
3,0:26.0,,Defensive rebound by P. Patterson,86,73
3,0:07.0,,J. Grant makes 2-pt dunk at rim (assist by R. Felton),86,75
3,0:00.0,D. Waiters misses 3-pt jump shot from 26 ft,,86,75
3,0:00.0,Offensive rebound by Team,,86,75
4,11:42.0,,A. Nader makes 2-pt jump shot from 8 ft,86,77
4,11:23.0,J. Johnson misses 2-pt jump shot from 7 ft,,86,77
4,11:21.0,,Defensive rebound by A. Nader,86,77
4,11:11.0,,R. Felton misses 3-pt jump shot from 26 ft,86,77
4,11:07.0,,Offensive rebound by Team,86,77
4,11:01.0,,J. Grant makes 2-pt dunk from 3 ft (assist by R. Felton),86,79
4,10:45.0,Personal foul by P. Patterson (drawn by J. Johnson),,86,79
4,10:37.0,J. Johnson misses 3-pt jump shot from 26 ft,,86,79
4,10:34.0,Offensive rebound by J. Richardson,,86,79
4,10:33.0,K. Olynyk makes 2-pt layup from 1 ft (assist by J. Richardson),,88,79
4,10:21.0,,R. Felton misses 2-pt jump shot from 7 ft,88,79
4,10:19.0,Defensive rebound by K. Olynyk,,88,79
4,10:15.0,J. Richardson misses 2-pt jump shot from 6 ft,,88,79
4,10:11.0,Offensive rebound by J. Richardson,,88,79
4,10:11.0,J. Richardson makes 2-pt layup at rim,,90,79
4,10:00.0,,A. Nader misses 3-pt jump shot from 26 ft,90,79
4,9:57.0,Defensive rebound by J. Johnson,,90,79
4,9:36.0,D. Wade makes 2-pt jump shot from 12 ft (assist by J. Richardson),,92,79
4,9:24.0,,Offensive foul by A. Nader (drawn by K. Olynyk),92,79
4,9:24.0,,Turnover by A. Nader (offensive foul),92,79
4,9:24.0,,D. Burton enters the game for J. Grant,92,79
4,9:24.0,,P. George enters the game for A. Nader,92,79
4,9:02.0,K. Olynyk makes 2-pt jump shot from 13 ft (assist by G. Dragić),,94,79
4,8:54.0,,P. George makes 2-pt layup from 2 ft,94,81
4,8:54.0,,Shooting foul by D. Wade (drawn by P. George),94,81
4,8:54.0,,D. Schröder enters the game for R. Felton,94,81
4,8:54.0,,P. George makes free throw 1 of 1,94,82
4,8:54.0,B. Adebayo enters the game for K. Olynyk,,94,82
4,8:43.0,J. Richardson misses 2-pt layup from 4 ft,,94,82
4,8:40.0,,Defensive rebound by T. Ferguson,94,82
4,8:39.0,,Turnover by T. Ferguson (bad pass; steal by G. Dragić),94,82
4,8:33.0,D. Wade makes 2-pt dunk from 1 ft (assist by G. Dragić),,96,82
4,8:07.0,,P. Patterson misses 2-pt layup from 2 ft (block by J. Johnson),96,82
4,8:05.0,Defensive rebound by G. Dragić,,96,82
