QUARTER,TIME_REMAINING,ATLANTA_ACTION,DETROIT_ACTION,ATLANTA_SCORE,DETROIT_SCORE
4,11:47.0,Loose ball foul by D. Dedmon (drawn by Z. Pachulia),,79,66
4,11:47.0,A. Poythress enters the game for D. Dedmon,,79,66
4,11:36.0,,L. Galloway makes 3-pt jump shot from 23 ft (assist by J. Calderón),79,69
4,11:20.0,K. Huerter misses 2-pt jump shot from 19 ft,,79,69
4,11:17.0,Offensive rebound by T. Young,,79,69
4,11:15.0,T. Young misses 3-pt jump shot from 31 ft,,79,69
4,11:10.0,,Defensive rebound by B. Griffin,79,69
4,11:10.0,,Turnover by B. Griffin (lost ball; steal by J. Anderson),79,69
4,11:10.0,K. Huerter misses 2-pt layup from 1 ft,,79,69
4,11:02.0,Offensive rebound by T. Young,,79,69
4,10:56.0,A. Poythress misses 2-pt jump shot from 16 ft,,79,69
4,10:52.0,Offensive rebound by A. Poythress,,79,69
4,10:45.0,J. Anderson makes 2-pt dunk from 1 ft (assist by T. Young),,81,69
4,10:18.0,,S. Johnson misses 2-pt jump shot from 7 ft,81,69
4,10:16.0,Defensive rebound by J. Anderson,,81,69
4,10:01.0,K. Bazemore makes 2-pt jump shot from 21 ft (assist by J. Anderson),,83,69
4,9:39.0,,L. Galloway misses 2-pt layup from 3 ft (block by A. Poythress),83,69
4,9:39.0,,Offensive rebound by Team,83,69
4,9:37.0,,S. Johnson misses 2-pt layup from 2 ft (block by K. Bazemore),83,69
4,9:37.0,,Offensive rebound by Team,83,69
4,9:32.0,,L. Galloway makes 3-pt jump shot from 27 ft (assist by Z. Pachulia),83,72
4,9:12.0,T. Young misses 2-pt jump shot from 15 ft,,83,72
4,9:08.0,,Defensive rebound by Z. Pachulia,83,72
4,9:02.0,,S. Johnson misses 3-pt jump shot from 25 ft,83,72
4,8:58.0,,Offensive rebound by Z. Pachulia,83,72
4,8:55.0,,L. Galloway makes 3-pt jump shot from 30 ft (assist by S. Johnson),83,75
4,8:36.0,Personal foul by L. Galloway (drawn by K. Bazemore),,83,75
4,8:36.0,V. Carter enters the game for J. Anderson,,83,75
4,8:36.0,A. Len enters the game for A. Poythress,,83,75
4,8:30.0,Personal foul by S. Johnson (drawn by T. Young),,83,75
4,8:21.0,K. Huerter misses 2-pt layup from 4 ft,,83,75
4,8:13.0,Offensive rebound by A. Len,,83,75
4,8:13.0,A. Len misses 2-pt layup from 1 ft,,83,75
4,8:13.0,Offensive rebound by A. Len,,83,75
4,8:12.0,A. Len misses 2-pt layup from 1 ft,,83,75
4,8:10.0,,Defensive rebound by Z. Pachulia,83,75
4,8:04.0,,L. Galloway misses 3-pt jump shot from 30 ft,83,75
4,8:01.0,Defensive rebound by T. Young,,83,75
4,7:57.0,K. Huerter makes 2-pt layup from 2 ft (assist by T. Young),,85,75
4,7:37.0,,Turnover by J. Calderón (bad pass),85,75
4,7:19.0,T. Young misses 2-pt layup from 6 ft (block by S. Johnson),,85,75
4,7:16.0,,Defensive rebound by L. Galloway,85,75
4,7:14.0,,Offensive foul by S. Johnson (drawn by K. Bazemore),85,75
4,7:14.0,,Turnover by S. Johnson (offensive foul),85,75
4,7:00.0,Turnover by T. Young (bad pass; steal by Z. Pachulia),,85,75
4,7:00.0,Loose ball foul by A. Len (drawn by Z. Pachulia),,85,75
4,6:48.0,,L. Galloway misses 2-pt jump shot from 19 ft,85,75
4,6:45.0,Defensive rebound by V. Carter,,85,75
4,6:28.0,V. Carter misses 3-pt jump shot from 27 ft,,85,75
4,6:25.0,,Defensive rebound by B. Griffin,85,75
