QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,NEW YORK_ACTION,SACRAMENTO_SCORE,NEW YORK_SCORE
4,8:20.0,,Offensive rebound by M. Robinson,87,82
4,8:20.0,,M. Robinson makes 2-pt dunk from 1 ft,87,84
4,8:20.0,Sacramento full timeout,,87,84
4,8:20.0,H. Barnes enters the game for N. Bjelica,,87,84
4,8:08.0,Personal foul by M. Robinson (drawn by H. Giles),,87,84
4,7:56.0,H. Giles misses 2-pt hook shot from 6 ft,,87,84
4,7:55.0,,Defensive rebound by Team,87,84
4,7:46.0,,Personal foul by Y. Ferrell (drawn by M. Robinson),87,84
4,7:32.0,,A. Trier misses 3-pt jump shot from 26 ft,87,84
4,7:28.0,Defensive rebound by Y. Ferrell,,87,84
4,7:16.0,H. Giles misses 2-pt hook shot from 4 ft,,87,84
4,7:14.0,,Defensive rebound by A. Trier,87,84
4,7:09.0,,L. Kornet misses 3-pt jump shot from 23 ft,87,84
4,7:06.0,,Offensive rebound by L. Kornet,87,84
4,7:02.0,,Shooting foul by C. Brewer (drawn by A. Trier),87,84
4,7:02.0,,A. Trier makes free throw 1 of 2,87,85
4,7:02.0,W. Cauley-Stein enters the game for C. Brewer,,87,85
4,7:02.0,D. Fox enters the game for Y. Ferrell,,87,85
4,7:02.0,B. Hield enters the game for H. Giles,,87,85
4,7:02.0,,A. Trier makes free throw 2 of 2,87,86
4,6:49.0,B. Bogdanović misses 3-pt jump shot from 26 ft,,87,86
4,6:45.0,,Defensive rebound by M. Robinson,87,86
