QUARTER,TIME_REMAINING,DENVER_ACTION,ORLANDO_ACTION,DENVER_SCORE,ORLANDO_SCORE
3,0:00.0,M. Beasley misses 2-pt jump shot from 12 ft,,88,86
3,0:00.0,Offensive rebound by Team,,88,86
4,11:55.0,,Personal foul by M. Beasley (drawn by T. Ross),88,86
4,11:46.0,,Personal foul by M. Beasley (drawn by M. Bamba),88,86
4,11:40.0,,T. Ross makes 3-pt jump shot from 28 ft,88,89
4,11:19.0,Shooting foul by M. Bamba (drawn by M. Plumlee),,88,89
4,11:19.0,M. Plumlee makes free throw 1 of 2,,89,89
4,11:19.0,M. Plumlee makes free throw 2 of 2,,90,89
4,11:02.0,,T. Ross misses 3-pt jump shot from 29 ft,90,89
4,10:58.0,,Offensive rebound by J. Isaac,90,89
4,10:54.0,,M. Bamba misses 2-pt jump shot from 16 ft,90,89
4,10:54.0,Defensive rebound by M. Beasley,,90,89
4,10:41.0,M. Morris makes 3-pt jump shot from 23 ft (assist by J. Murray),,93,89
4,10:25.0,,E. Fournier misses 2-pt jump shot from 20 ft,93,89
4,10:22.0,Defensive rebound by T. Lyles,,93,89
4,10:14.0,Shooting foul by M. Bamba (drawn by T. Lyles),,93,89
4,10:14.0,T. Lyles makes free throw 1 of 2,,94,89
4,10:14.0,T. Lyles makes free throw 2 of 2,,95,89
4,10:03.0,,J. Isaac misses 3-pt jump shot from 27 ft,95,89
4,10:00.0,Defensive rebound by M. Beasley,,95,89
4,9:57.0,Shooting foul by E. Fournier (drawn by M. Plumlee),,95,89
4,9:57.0,M. Plumlee misses free throw 1 of 2,,95,89
4,9:57.0,Offensive rebound by Team,,95,89
4,9:57.0,M. Plumlee misses free throw 2 of 2,,95,89
4,9:54.0,,Defensive rebound by E. Fournier,95,89
4,9:38.0,,J. Isaac makes 2-pt jump shot from 22 ft (assist by E. Fournier),95,91
4,9:19.0,M. Beasley misses 2-pt layup from 2 ft (block by M. Bamba),,95,91
4,9:17.0,,Defensive rebound by J. Isaac,95,91
4,9:13.0,,Shooting foul by T. Lyles (drawn by J. Isaac),95,91
4,9:13.0,,J. Isaac makes free throw 1 of 2,95,92
4,9:13.0,,J. Isaac makes free throw 2 of 2,95,93
4,9:01.0,T. Lyles makes 2-pt jump shot from 15 ft (assist by J. Murray),,97,93
4,8:35.0,,E. Fournier misses 2-pt layup from 6 ft (block by T. Lyles),97,93
