QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,PORTLAND_ACTION,SAN ANTONIO_SCORE,PORTLAND_SCORE
4,7:02.0,D. DeRozan misses 2-pt layup from 1 ft,,93,108
4,6:59.0,Offensive rebound by L. Aldridge,,93,108
4,6:59.0,L. Aldridge makes 2-pt layup at rim,,95,108
4,6:59.0,,Turnover by Z. Collins (inbound),95,108
4,6:48.0,D. DeRozan makes 2-pt jump shot from 10 ft,,97,108
4,6:46.0,,Portland full timeout,97,108
4,6:46.0,P. Mills enters the game for M. Belinelli,,97,108
4,6:46.0,,M. Harkless enters the game for E. Turner,97,108
4,6:28.0,,C. McCollum makes 2-pt layup from 2 ft,97,110
4,6:28.0,,Shooting foul by P. Mills (drawn by C. McCollum),97,110
4,6:28.0,,C. McCollum misses free throw 1 of 1,97,110
4,6:28.0,Defensive rebound by R. Gay,,97,110
4,6:10.0,Turnover by R. Gay (lost ball; steal by Z. Collins),,97,110
4,6:00.0,,Personal foul by R. Gay (drawn by A. Aminu),97,110
4,6:00.0,,A. Aminu makes free throw 1 of 2,97,111
4,6:00.0,D. Cunningham enters the game for R. Gay,,97,111
4,6:00.0,,A. Aminu makes free throw 2 of 2,97,112
4,5:50.0,D. DeRozan misses 2-pt jump shot from 4 ft,,97,112
4,5:49.0,,Defensive rebound by M. Harkless,97,112
4,5:39.0,,D. Lillard misses 2-pt jump shot from 17 ft,97,112
4,5:35.0,Defensive rebound by L. Aldridge,,97,112
4,5:20.0,Personal foul by M. Harkless (drawn by L. Aldridge),,97,112
4,5:10.0,B. Forbes misses 3-pt jump shot from 25 ft,,97,112
4,5:05.0,Offensive rebound by D. Cunningham,,97,112
4,5:01.0,Shooting foul by A. Aminu (drawn by D. DeRozan),,97,112
4,5:01.0,D. DeRozan makes free throw 1 of 2,,98,112
4,5:01.0,D. DeRozan makes free throw 2 of 2,,99,112
4,4:44.0,,Shooting foul by D. Cunningham (drawn by D. Lillard),99,112
4,4:44.0,,D. Lillard makes free throw 1 of 2,99,113
4,4:44.0,,D. Lillard makes free throw 2 of 2,99,114
4,4:36.0,D. DeRozan misses 2-pt jump shot from 14 ft,,99,114
4,4:32.0,,Defensive rebound by D. Lillard,99,114
4,4:15.0,,D. Lillard makes 2-pt layup from 2 ft,99,116
4,4:02.0,P. Mills makes 2-pt jump shot from 20 ft (assist by L. Aldridge),,101,116
4,3:38.0,,Z. Collins makes 3-pt jump shot from 25 ft (assist by D. Lillard),101,119
4,3:28.0,San Antonio full timeout,,101,119
