QUARTER,TIME_REMAINING,NEW YORK_ACTION,PHILADELPHIA_ACTION,NEW YORK_SCORE,PHILADELPHIA_SCORE
4,10:58.0,T. Burke misses 2-pt jump shot from 7 ft,,70,94
4,10:55.0,Offensive rebound by M. Robinson,,70,94
4,10:55.0,M. Robinson misses 2-pt layup from 1 ft,,70,94
4,10:55.0,,Defensive rebound by M. Muscala,70,94
4,10:39.0,,J. Embiid makes 2-pt layup from 2 ft (assist by T. McConnell),70,96
4,10:13.0,A. Trier misses 2-pt jump shot from 12 ft,,70,96
4,10:12.0,Offensive rebound by Team,,70,96
4,10:12.0,Turnover by Team (shot clock),,70,96
4,10:01.0,,J. Redick misses 2-pt layup from 2 ft,70,96
4,9:59.0,Defensive rebound by K. Knox,,70,96
4,9:52.0,K. Knox misses 2-pt jump shot from 5 ft,,70,96
4,9:50.0,,Defensive rebound by J. Embiid,70,96
4,9:36.0,,J. Embiid misses 2-pt layup from 2 ft (block by M. Robinson),70,96
4,9:34.0,Defensive rebound by M. Robinson,,70,96
4,9:31.0,Shooting foul by T. McConnell (drawn by T. Burke),,70,96
4,9:31.0,T. Burke makes free throw 1 of 2,,71,96
4,9:31.0,T. Burke makes free throw 2 of 2,,72,96
4,9:19.0,,Turnover by T. McConnell (bad pass; steal by T. Burke),72,96
4,9:11.0,Turnover by A. Trier (bad pass),,72,96
4,8:58.0,,J. Redick makes 3-pt jump shot from 27 ft (assist by J. Embiid),72,99
4,8:36.0,K. Knox misses 2-pt jump shot from 9 ft,,72,99
4,8:34.0,,Defensive rebound by F. Korkmaz,72,99
4,8:30.0,,Philadelphia full timeout,72,99
4,8:30.0,F. Ntilikina enters the game for T. Burke,,72,99
4,8:30.0,,A. Johnson enters the game for J. Embiid,72,99
4,8:30.0,,L. Shamet enters the game for J. Redick,72,99
4,8:13.0,,T. McConnell misses 2-pt jump shot from 9 ft,72,99
4,8:11.0,Defensive rebound by M. Robinson,,72,99
4,7:55.0,D. Dotson makes 2-pt jump shot from 18 ft,,74,99
4,7:37.0,,F. Korkmaz misses 3-pt jump shot from 26 ft,74,99
4,7:34.0,Defensive rebound by K. Knox,,74,99
4,7:24.0,K. Knox makes 2-pt hook shot from 6 ft,,76,99
4,7:11.0,,L. Shamet misses 3-pt jump shot from 27 ft,76,99
4,7:07.0,Defensive rebound by M. Robinson,,76,99
4,6:55.0,A. Trier misses 2-pt jump shot from 4 ft (block by A. Johnson),,76,99
4,6:54.0,Offensive rebound by M. Robinson,,76,99
4,6:45.0,Turnover by M. Robinson (lost ball; steal by A. Johnson),,76,99
4,6:43.0,,T. McConnell makes 2-pt jump shot from 4 ft,76,101
4,6:33.0,K. Knox misses 3-pt jump shot from 25 ft,,76,101
4,6:29.0,,Defensive rebound by L. Shamet,76,101
4,6:25.0,,Turnover by L. Shamet (bad pass; steal by D. Dotson),76,101
4,6:15.0,D. Dotson misses 3-pt jump shot from 25 ft,,76,101
4,6:12.0,,Defensive rebound by L. Shamet,76,101
