QUARTER,TIME_REMAINING,BROOKLYN_ACTION,TORONTO_ACTION,BROOKLYN_SCORE,TORONTO_SCORE
4,10:09.0,S. Napier enters the game for D. Russell,,78,102
4,9:57.0,,F. VanVleet misses 2-pt jump shot from 19 ft,78,102
4,9:53.0,,Offensive rebound by G. Monroe,78,102
4,9:51.0,,G. Monroe makes 2-pt hook shot from 3 ft,78,104
4,9:33.0,T. Pinson makes 3-pt jump shot from 26 ft,,81,104
4,9:24.0,,G. Monroe misses 3-pt jump shot from 26 ft,81,104
4,9:20.0,Defensive rebound by T. Graham,,81,104
4,9:15.0,Turnover by T. Pinson (bad pass; steal by D. Wright),,81,104
4,9:04.0,,G. Monroe makes 2-pt hook shot from 6 ft (assist by D. Wright),81,106
4,8:49.0,Turnover by S. Napier (bad pass; steal by F. VanVleet),,81,106
4,8:43.0,,Shooting foul by E. Davis (drawn by O. Anunoby),81,106
4,8:43.0,,O. Anunoby misses free throw 1 of 2,81,106
4,8:43.0,,Offensive rebound by Team,81,106
4,8:43.0,A. Williams enters the game for E. Davis,,81,106
