id,players,team
210,"{'J. Nurkić', 'D. Lillard', 'J. Layman', 'C. McCollum', 'A. Aminu'}",POR
211,"{'M. Harkless', 'J. Nurkić', 'D. Lillard', 'J. Layman', 'C. McCollum'}",POR
212,"{'M. Harkless', 'D. Lillard', 'E. Turner', 'Z. Collins', 'C. McCollum'}",POR
213,"{'D. Lillard', 'E. Turner', 'Z. Collins', 'S. Curry', 'M. Leonard'}",POR
214,"{'E. Turner', 'Z. Collins', 'S. Curry', 'M. Leonard', 'N. Stauskas'}",POR
215,"{'E. Turner', 'Z. Collins', 'S. Curry', 'A. Aminu', 'N. Stauskas'}",POR
216,"{'J. Nurkić', 'D. Lillard', 'C. McCollum', 'A. Aminu', 'N. Stauskas'}",POR
217,"{'M. Harkless', 'J. Nurkić', 'D. Lillard', 'C. McCollum', 'A. Aminu'}",POR
218,"{'M. Harkless', 'J. Nurkić', 'D. Lillard', 'C. McCollum', 'N. Stauskas'}",POR
219,"{'M. Harkless', 'J. Nurkić', 'D. Lillard', 'E. Turner', 'N. Stauskas'}",POR
220,"{'D. Lillard', 'J. Layman', 'C. McCollum', 'M. Leonard', 'A. Aminu'}",POR
221,"{'D. Lillard', 'E. Turner', 'C. McCollum', 'M. Leonard', 'A. Aminu'}",POR
222,"{'D. Lillard', 'E. Turner', 'Z. Collins', 'S. Curry', 'A. Aminu'}",POR
223,"{'M. Harkless', 'D. Lillard', 'E. Turner', 'Z. Collins', 'S. Curry'}",POR
224,"{'M. Harkless', 'E. Turner', 'Z. Collins', 'S. Curry', 'N. Stauskas'}",POR
225,"{'M. Harkless', 'D. Lillard', 'Z. Collins', 'C. McCollum', 'N. Stauskas'}",POR
226,"{'D. Lillard', 'Z. Collins', 'C. McCollum', 'A. Aminu', 'N. Stauskas'}",POR
227,"{'D. Lillard', 'E. Turner', 'C. McCollum', 'A. Aminu', 'N. Stauskas'}",POR
228,"{'J. Wall', 'B. Beal', 'O. Porter', 'I. Mahinmi', 'M. Morris'}",WAS
229,"{'K. Oubre', 'J. Wall', 'B. Beal', 'I. Mahinmi', 'M. Morris'}",WAS
230,"{'K. Oubre', 'A. Rivers', 'B. Beal', 'J. Green', 'M. Morris'}",WAS
231,"{'K. Oubre', 'A. Rivers', 'B. Beal', 'J. Green', 'J. Smith'}",WAS
232,"{'K. Oubre', 'A. Rivers', 'T. Satoranský', 'J. Green', 'J. Smith'}",WAS
233,"{'K. Oubre', 'J. Wall', 'A. Rivers', 'J. Green', 'J. Smith'}",WAS
234,"{'J. Wall', 'B. Beal', 'A. Rivers', 'J. Green', 'M. Morris'}",WAS
235,"{'J. Wall', 'A. Rivers', 'O. Porter', 'M. Morris', 'I. Mahinmi'}",WAS
236,"{'J. Wall', 'A. Rivers', 'O. Porter', 'J. Green', 'I. Mahinmi'}",WAS
237,"{'J. Wall', 'A. Rivers', 'O. Porter', 'J. Green', 'J. Smith'}",WAS
